uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
510836	Rub21	2012-04-01	13025	12975	11861	5428	5033	4252	0	0	0	18453	16113	0.8731913509998375
510836	Rub21	2012-05-01	1374	1373	1362	15	1	12	0	0	0	1389	1374	0.9892008639308856
510836	Rub21	2012-06-01	21917	21767	17497	9202	8166	3464	0	0	0	31119	20961	0.6735756290369228
510836	Rub21	2012-09-01	3911	3724	3486	1995	913	948	0	0	0	5906	4434	0.7507619370132069
510836	Rub21	2013-05-01	0	0	0	2	0	0	0	0	0	2	0	0
510836	Rub21	2013-06-01	58523	58220	55713	21932	16942	15405	0	0	0	80455	71118	0.8839475483189361
510836	Rub21	2014-07-01	205	177	186	117	42	72	0	0	0	322	258	0.8012422360248447
510836	Rub21	2014-08-01	192	175	180	260	2	198	0	0	0	452	378	0.8362831858407079
510836	Rub21	2014-12-01	195	171	187	205	0	157	0	0	0	400	344	0.86
510836	Rub21	2015-01-01	6	5	5	3	2	2	0	0	0	9	7	0.7777777777777778
510836	Rub21	2015-03-01	0	0	0	1	0	1	0	0	0	1	1	1
510836	Rub21	2015-04-01	1	0	0	3	0	1	0	0	0	4	1	0.25
510836	Rub21	2015-10-01	1	0	0	4	0	3	0	0	0	5	3	0.6
510836	Rub21	2015-11-01	284	0	274	0	0	0	0	0	0	284	274	0.9647887323943662
84642	mdelatorre	2008-12-01	16103	1305	564	1153	250	101	0	0	0	17256	665	0.03853732035234121
84642	mdelatorre	2009-01-01	64244	6569	7166	3721	810	478	21	6	2	67986	7646	0.11246433089165417
84642	mdelatorre	2009-02-01	27829	2794	2895	2027	426	191	0	0	0	29856	3086	0.10336280814576634
84642	mdelatorre	2009-05-01	235	207	105	206	55	9	0	0	0	441	114	0.2585034013605442
84642	mdelatorre	2009-07-01	309	134	64	147	33	19	0	0	0	456	83	0.18201754385964913
84642	mdelatorre	2010-11-01	2132	1147	925	425	204	180	1	1	0	2558	1105	0.43197810789679436
84642	mdelatorre	2010-12-01	147	36	74	16	2	2	0	0	0	163	76	0.4662576687116564
84642	mdelatorre	2011-09-01	8125	6323	5524	1440	839	714	33	26	26	9598	6264	0.6526359658262137
84642	mdelatorre	2011-11-01	735	489	534	178	121	105	1	1	1	914	640	0.700218818380744
298530	ferval	2010-06-01	2359	733	612	1009	183	191	3	2	1	3371	804	0.23850489469000297
298530	ferval	2010-07-01	1117	548	514	480	124	114	0	0	0	1597	628	0.39323731997495304
298530	ferval	2010-08-01	3230	1310	1476	1400	217	320	5	1	0	4635	1796	0.38748651564185543
298530	ferval	2010-09-01	227	116	106	85	37	31	1	0	0	313	137	0.43769968051118213
298530	ferval	2010-10-01	937	343	260	251	83	47	0	0	0	1188	307	0.25841750841750843
298530	ferval	2010-11-01	1220	324	418	350	74	45	0	0	0	1570	463	0.2949044585987261
298530	ferval	2010-12-01	212	39	86	62	13	11	0	0	0	274	97	0.354014598540146
298530	ferval	2011-01-01	8896	3305	5068	1799	499	446	4	1	1	10699	5515	0.5154687353958314
298530	ferval	2011-02-01	8353	2754	6025	1857	533	526	19	6	2	10229	6553	0.64062958255939
298530	ferval	2011-03-01	655	212	418	113	20	27	0	0	0	768	445	0.5794270833333334
298530	ferval	2011-04-01	376	85	314	73	12	20	0	0	0	449	334	0.7438752783964365
298530	ferval	2011-06-01	13	1	4	6	1	1	0	0	0	19	5	0.2631578947368421
298530	ferval	2011-07-01	281	54	194	57	14	22	0	0	0	338	216	0.6390532544378699
298530	ferval	2011-08-01	11161	4439	8196	3381	1009	784	55	50	35	14597	9015	0.6175926560252106
298530	ferval	2011-09-01	3292	1476	2490	1330	321	440	6	4	3	4628	2933	0.6337510803802938
298530	ferval	2011-10-01	2744	1502	2425	662	283	298	0	0	0	3406	2723	0.7994715208455666
298530	ferval	2011-11-01	444	226	339	58	23	18	0	0	0	502	357	0.7111553784860558
298530	ferval	2012-03-01	2938	1891	2522	545	293	236	2	2	2	3485	2760	0.7919655667144907
298530	ferval	2012-04-01	2121	823	1499	1016	210	477	2	0	0	3139	1976	0.6294998407136031
298530	ferval	2012-05-01	2527	1281	2212	722	314	474	2	2	1	3251	2687	0.8265149184866195
298530	ferval	2012-07-01	80	2	71	1	0	0	0	0	0	81	71	0.8765432098765432
298530	ferval	2012-09-01	175	120	167	57	39	10	0	0	0	232	177	0.7629310344827587
298530	ferval	2012-10-01	4087	2186	3709	1565	571	674	0	0	0	5652	4383	0.7754777070063694
298530	ferval	2012-11-01	0	0	0	0	1	0	0	0	0	0	0	0
298530	ferval	2012-12-01	352	190	300	62	27	45	0	0	0	414	345	0.8333333333333334
298530	ferval	2013-04-01	141	83	73	61	10	6	11	0	4	213	83	0.38967136150234744
298530	ferval	2013-05-01	13619	6501	12266	3739	1457	1827	52	22	14	17410	14107	0.8102814474439977
298530	ferval	2013-09-01	814	704	693	88	50	19	0	0	0	902	712	0.7893569844789357
298530	ferval	2013-10-01	1562	1165	1448	378	231	225	2	1	2	1942	1675	0.8625128733264675
298530	ferval	2013-11-01	392	111	382	96	22	52	8	0	3	496	437	0.8810483870967742
298530	ferval	2014-03-01	547	324	511	94	63	62	5	1	0	646	573	0.8869969040247678
298530	ferval	2014-04-01	845	563	733	180	99	90	20	0	2	1045	825	0.7894736842105263
298530	ferval	2014-08-01	1496	496	1299	536	126	317	180	78	78	2212	1694	0.7658227848101266
298530	ferval	2014-09-01	602	155	405	295	91	137	30	4	0	927	542	0.5846817691477886
43293	ulfinger	2008-06-01	46215	38487	20503	22441	6188	2261	0	0	0	68656	22764	0.3315660685154976
43293	ulfinger	2008-07-01	9424	8027	4289	6926	1857	814	0	0	0	16350	5103	0.31211009174311927
43293	ulfinger	2008-08-01	3059	2855	1716	1492	471	234	0	0	0	4551	1950	0.42847725774555045
43293	ulfinger	2008-09-01	0	0	0	40	0	3	0	0	0	40	3	0.075
1679	andrewpmk	2008-06-01	0	0	0	5	0	0	0	0	0	5	0	0
1679	andrewpmk	2009-03-01	372	369	360	139	85	3	0	0	0	511	363	0.7103718199608611
1679	andrewpmk	2009-04-01	17324	16992	10367	8545	4673	257	0	0	0	25869	10624	0.4106846031930109
1679	andrewpmk	2009-05-01	5892	5776	3988	3987	1551	98	0	0	0	9879	4086	0.41360461585180686
1679	andrewpmk	2009-08-01	4522	3167	3520	1336	900	20	0	0	0	5858	3540	0.604301809491294
1679	andrewpmk	2009-09-01	6601	6304	5254	2761	1852	77	0	0	0	9362	5331	0.5694296090578936
1679	andrewpmk	2009-10-01	1673	1655	1479	804	565	15	0	0	0	2477	1494	0.6031489705288655
1679	andrewpmk	2013-01-01	71	16	67	95	8	47	0	0	0	166	114	0.6867469879518072
1679	andrewpmk	2013-02-01	130	100	114	79	15	33	0	0	0	209	147	0.7033492822966507
1679	andrewpmk	2013-04-01	9	8	7	77	8	38	0	0	0	86	45	0.5232558139534884
1679	andrewpmk	2014-01-01	0	0	0	2	0	1	0	0	0	2	1	0.5
