uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
7168	DaveHansenTiger	2007-11-01	427650	427651	8729	83867	83867	11295	0	0	0	511517	20024	0.03914630403290604
7168	DaveHansenTiger	2009-08-01	0	0	0	1	0	0	0	0	0	1	0	0
147510	woodpeck_fixbot	2009-07-01	0	0	0	311	0	82	0	0	0	311	82	0.26366559485530544
147510	woodpeck_fixbot	2009-08-01	69782	0	44365	0	0	0	0	0	0	69782	44365	0.6357656702301453
147510	woodpeck_fixbot	2009-09-01	48148	0	34015	0	0	0	0	0	0	48148	34015	0.706467558361718
147510	woodpeck_fixbot	2009-10-01	45971	0	39344	0	0	0	0	0	0	45971	39344	0.8558439015901329
147510	woodpeck_fixbot	2009-11-01	74321	0	58203	0	0	0	0	0	0	74321	58203	0.7831299363571534
147510	woodpeck_fixbot	2009-12-01	101948	0	84387	0	0	0	0	0	0	101948	84387	0.8277455173225566
147510	woodpeck_fixbot	2010-01-01	71701	0	32758	0	0	0	0	0	0	71701	32758	0.45686949972803725
369983	grouper	2010-11-01	667	181	433	133	12	14	0	0	0	800	447	0.55875
369983	grouper	2010-12-01	0	0	0	0	0	0	0	0	0	0	0	0
369983	grouper	2011-01-01	15417	5901	11939	2535	201	308	3	0	0	17955	12247	0.6820941241993873
369983	grouper	2011-02-01	2259	899	2022	345	15	37	1	0	0	2605	2059	0.7904030710172745
369983	grouper	2011-03-01	3744	1331	3249	664	33	37	0	0	0	4408	3286	0.7454627949183303
369983	grouper	2011-04-01	33893	15234	28211	4465	563	599	2	0	0	38360	28810	0.7510427528675704
369983	grouper	2011-05-01	23748	18936	21278	1710	567	675	4	2	1	25462	21954	0.8622260623674496
369983	grouper	2011-06-01	666	345	617	126	2	12	0	0	0	792	629	0.7941919191919192
369983	grouper	2011-07-01	5510	2492	5111	1037	161	182	1	0	0	6548	5293	0.8083384239462431
369983	grouper	2011-08-01	59726	54854	55972	3032	1335	1062	5	0	0	62763	57034	0.9087201057948154
369983	grouper	2011-09-01	916	711	753	193	81	23	3	0	0	1112	776	0.697841726618705
369983	grouper	2011-10-01	2391	1114	2239	472	66	71	2	0	0	2865	2310	0.806282722513089
369983	grouper	2011-11-01	3530	2516	2894	980	385	307	23	0	0	4533	3201	0.7061548643282595
369983	grouper	2011-12-01	5643	2397	4958	1253	226	193	4	0	0	6900	5151	0.7465217391304347
369983	grouper	2012-01-01	7103	2367	6250	2033	278	323	9	0	0	9145	6573	0.7187534171678512
369983	grouper	2012-02-01	3824	1040	3231	1235	157	123	3	0	0	5062	3354	0.6625839589095219
369983	grouper	2012-03-01	8810	4897	7606	2238	566	488	7	0	0	11055	8094	0.732157394843962
369983	grouper	2012-04-01	7594	3459	6671	1834	433	310	19	0	1	9447	6982	0.7390706044246851
369983	grouper	2012-05-01	4017	2276	3414	1001	296	204	10	0	0	5028	3618	0.7195704057279236
369983	grouper	2012-06-01	9182	6746	8538	2375	664	1012	5	0	0	11562	9550	0.8259816640719598
369983	grouper	2012-07-01	11027	6748	10126	2127	597	574	4	0	0	13158	10700	0.8131934944520444
369983	grouper	2012-08-01	302	158	275	66	21	6	1	0	0	369	281	0.7615176151761518
369983	grouper	2012-09-01	999	480	948	199	11	29	2	0	0	1200	977	0.8141666666666667
369983	grouper	2012-10-01	40440	37503	38848	2114	1359	1350	0	0	0	42554	40198	0.9446350519340132
369983	grouper	2012-11-01	4107	2349	3892	829	226	406	2	0	0	4938	4298	0.8703928716079384
369983	grouper	2012-12-01	3687	2638	3582	582	224	207	0	0	0	4269	3789	0.8875614898102601
369983	grouper	2013-01-01	5630	4121	5493	1244	413	685	0	0	0	6874	6178	0.8987489089322083
369983	grouper	2013-02-01	6586	4755	6418	902	340	689	2	0	0	7490	7107	0.9488651535380508
369983	grouper	2013-03-01	2643	2086	2553	411	265	348	2	0	0	3056	2901	0.9492801047120419
369983	grouper	2013-04-01	1868	1844	1832	89	50	48	2	0	0	1959	1880	0.9596733027054619
369983	grouper	2013-07-01	674	262	638	149	55	124	0	0	0	823	762	0.9258809234507898
369983	grouper	2013-08-01	5260	2359	4918	1173	210	919	2	0	2	6435	5839	0.9073815073815074
369983	grouper	2013-09-01	3192	1574	3062	679	195	514	20	0	4	3891	3580	0.9200719609354922
369983	grouper	2013-10-01	0	0	0	0	0	0	0	0	0	0	0	0
369983	grouper	2013-11-01	1794	1426	1746	455	211	321	5	0	3	2254	2070	0.9183673469387755
369983	grouper	2013-12-01	3754	2772	3653	824	466	647	8	0	2	4586	4302	0.9380723942433493
369983	grouper	2014-01-01	3228	1880	3058	585	213	361	19	0	2	3832	3421	0.8927453027139874
369983	grouper	2014-02-01	2790	1892	2390	621	306	382	1	0	1	3412	2773	0.8127198124267292
369983	grouper	2014-03-01	844	678	842	59	36	54	0	0	0	903	896	0.9922480620155039
369983	grouper	2014-04-01	2312	1425	2182	544	160	415	5	0	0	2861	2597	0.9077245718280321
369983	grouper	2014-05-01	2483	2083	2374	445	202	350	5	0	1	2933	2725	0.9290828503239005
369983	grouper	2014-06-01	4818	3797	4737	915	470	733	2	0	0	5735	5470	0.953792502179599
369983	grouper	2014-07-01	1516	984	1467	314	106	202	2	0	0	1832	1669	0.9110262008733624
369983	grouper	2014-08-01	1	0	0	0	0	0	0	0	0	1	0	0
369983	grouper	2014-09-01	320	238	317	79	50	68	0	0	0	399	385	0.9649122807017544
369983	grouper	2014-12-01	2470	2137	2456	263	101	218	0	0	0	2733	2674	0.9784120014635931
369983	grouper	2015-01-01	2792	2651	2787	238	148	203	0	0	0	3030	2990	0.9867986798679867
369983	grouper	2015-02-01	1911	1891	1909	62	57	56	0	0	0	1973	1965	0.9959452610238216
369983	grouper	2015-03-01	925	586	873	241	93	176	3	0	2	1169	1051	0.8990590248075278
369983	grouper	2015-04-01	91	20	90	61	6	56	0	0	0	152	146	0.9605263157894737
369983	grouper	2015-05-01	0	0	0	0	0	0	1	0	0	1	0	0
