uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
29320	Komяpa	2008-03-01	2505	2413	1554	639	329	227	0	0	0	3144	1781	0.5664758269720102
29320	Komяpa	2008-04-01	409	387	133	119	55	12	2	0	0	530	145	0.27358490566037735
29320	Komяpa	2008-05-01	1430	1297	457	414	139	62	0	0	0	1844	519	0.2814533622559653
29320	Komяpa	2008-06-01	109	109	46	44	8	11	0	0	0	153	57	0.37254901960784315
29320	Komяpa	2008-07-01	212	11	39	56	0	1	0	0	0	268	40	0.14925373134328357
29320	Komяpa	2008-08-01	454	97	135	85	7	3	0	0	0	539	138	0.2560296846011132
29320	Komяpa	2008-09-01	200	135	65	42	3	1	0	0	0	242	66	0.2727272727272727
29320	Komяpa	2008-10-01	1349	53	262	131	4	4	0	0	0	1480	266	0.17972972972972973
29320	Komяpa	2008-11-01	864	248	275	214	47	19	0	0	0	1078	294	0.2727272727272727
29320	Komяpa	2008-12-01	332	89	77	32	8	7	0	0	0	364	84	0.23076923076923078
29320	Komяpa	2009-01-01	479	80	90	28	9	1	0	0	0	507	91	0.1794871794871795
29320	Komяpa	2009-02-01	1157	78	285	75	9	4	0	0	0	1232	289	0.23457792207792208
29320	Komяpa	2009-03-01	954	86	237	71	8	0	0	0	0	1025	237	0.23121951219512196
29320	Komяpa	2009-04-01	4670	1600	1416	414	89	29	1	0	0	5085	1445	0.28416912487708945
29320	Komяpa	2009-05-01	4167	1288	1951	275	107	29	0	0	0	4442	1980	0.44574515983791085
29320	Komяpa	2009-06-01	4920	2263	1780	668	360	122	1	0	0	5589	1902	0.3403113258185722
29320	Komяpa	2009-07-01	8513	4743	2625	958	598	167	7	0	0	9478	2792	0.2945769149609622
29320	Komяpa	2009-08-01	4933	2247	1904	530	283	153	1	0	0	5464	2057	0.3764641288433382
29320	Komяpa	2009-09-01	902	331	379	75	29	9	2	0	0	979	388	0.39632277834525026
29320	Komяpa	2009-10-01	9772	4970	3178	1424	849	490	22	13	4	11218	3672	0.32733107505794257
29320	Komяpa	2009-11-01	2136	982	1006	290	186	109	1150	0	15	3576	1130	0.31599552572706935
29320	Komяpa	2009-12-01	975	298	361	75	45	26	2	1	1	1052	388	0.3688212927756654
