uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
55730	MaxM	2010-09-01	107652	107579	101530	8577	8487	74	0	0	0	116229	101604	0.874170817954211
55730	MaxM	2010-10-01	221008	221009	0	1	0	0	5168	5168	3842	226177	3842	0.016986696260008753
55730	MaxM	2012-09-01	0	0	0	1	1	0	1	0	1	2	1	0.5
70696	xybot	2009-07-01	0	0	0	0	0	0	0	0	0	0	0	0
70696	xybot	2009-09-01	0	0	0	1	0	0	0	0	0	1	0	0
70696	xybot	2010-04-01	0	0	0	2	0	2	0	0	0	2	2	1
70696	xybot	2010-06-01	0	0	0	0	0	0	0	0	0	0	0	0
70696	xybot	2010-07-01	0	0	0	12	0	5	0	0	0	12	5	0.4166666666666667
70696	xybot	2010-08-01	0	0	0	3	0	2	0	0	0	3	2	0.6666666666666666
70696	xybot	2010-09-01	0	0	0	37	0	35	0	0	0	37	35	0.9459459459459459
70696	xybot	2010-10-01	220751	0	209856	0	0	0	0	0	0	220751	209856	0.9506457501891271
70696	xybot	2010-12-01	0	0	0	0	0	0	0	0	0	0	0	0
70696	xybot	2011-01-01	1	0	0	2	0	0	0	0	0	3	0	0
70696	xybot	2011-02-01	1	0	1	0	0	0	0	0	0	1	1	1
70696	xybot	2011-05-01	0	0	0	13	0	3	0	0	0	13	3	0.23076923076923078
70696	xybot	2011-06-01	0	0	0	0	0	0	0	0	0	0	0	0
70696	xybot	2011-12-01	1	0	0	0	0	0	0	0	0	1	0	0
70696	xybot	2012-02-01	1	0	0	2	0	1	0	0	0	3	1	0.3333333333333333
70696	xybot	2012-03-01	2	0	1	0	0	0	0	0	0	2	1	0.5
755114	muralito	2012-07-01	10	1	5	69	19	4	20	0	9	99	18	0.18181818181818182
755114	muralito	2012-08-01	3771	1711	2849	1994	485	307	190	36	80	5955	3236	0.543408900083963
755114	muralito	2012-09-01	10408	7314	7809	3767	1174	854	438	165	220	14613	8883	0.6078833915007186
755114	muralito	2012-10-01	2878	1429	2586	2400	746	719	335	131	134	5613	3439	0.6126848387671477
755114	muralito	2012-11-01	3968	2976	3792	3100	1051	1523	333	154	132	7401	5447	0.7359816241048507
755114	muralito	2012-12-01	563	402	388	254	52	53	97	10	7	914	448	0.49015317286652077
755114	muralito	2013-01-01	2555	1530	2355	1610	292	720	123	10	20	4288	3095	0.7217817164179104
755114	muralito	2013-02-01	59204	57568	54696	3425	2582	2232	347	95	142	62976	57070	0.9062182418699187
755114	muralito	2013-03-01	1278	321	1218	540	104	122	106	41	47	1924	1387	0.7208939708939709
755114	muralito	2013-04-01	1900	526	1737	4864	289	2102	295	90	185	7059	4024	0.5700524153562827
755114	muralito	2013-05-01	11520	4346	10789	6437	278	3697	101	11	65	18058	14551	0.805792446561081
755114	muralito	2013-06-01	4170	2226	4033	957	138	576	90	10	52	5217	4661	0.8934253402338509
755114	muralito	2013-07-01	1315	239	1212	526	96	303	78	8	55	1919	1570	0.8181344450234497
755114	muralito	2013-08-01	1844	918	1733	693	111	453	93	11	51	2630	2237	0.8505703422053232
755114	muralito	2013-09-01	1979	822	1879	1819	452	1435	217	55	129	4015	3443	0.8575342465753425
755114	muralito	2013-10-01	941	167	916	290	60	219	64	9	32	1295	1167	0.9011583011583012
755114	muralito	2013-11-01	1845	872	1795	2898	409	2420	252	18	211	4995	4426	0.8860860860860861
755114	muralito	2013-12-01	838	533	819	583	76	536	30	0	21	1451	1376	0.9483115093039284
755114	muralito	2014-01-01	1047	833	1023	1698	297	1439	112	10	52	2857	2514	0.8799439971998599
755114	muralito	2014-02-01	587	524	577	105	47	85	30	6	20	722	682	0.9445983379501385
755114	muralito	2014-03-01	552	281	543	254	68	221	59	7	33	865	797	0.9213872832369943
755114	muralito	2014-04-01	2506	231	2490	320	101	296	129	32	97	2955	2883	0.9756345177664975
755114	muralito	2014-05-01	1004	390	998	262	77	242	81	14	66	1347	1306	0.9695619896065331
755114	muralito	2014-06-01	13	2	11	17	2	17	8	4	7	38	35	0.9210526315789473
755114	muralito	2014-07-01	86	3	85	102	3	95	12	2	8	200	188	0.94
755114	muralito	2014-08-01	433	238	429	278	97	244	88	39	73	799	746	0.9336670838548186
755114	muralito	2014-09-01	1239	398	1195	324	93	299	67	2	58	1630	1552	0.9521472392638037
