uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
260756	Felis Pimeja	2010-09-01	113	65	10	16	6	0	0	0	0	129	10	0.07751937984496124
260756	Felis Pimeja	2010-10-01	14242	9337	6436	3432	2197	397	8	5	3	17682	6836	0.38660784979074764
260756	Felis Pimeja	2010-11-01	21953	15982	12284	6077	2953	2407	528	436	152	28558	14843	0.5197492821626164
260756	Felis Pimeja	2010-12-01	15292	12974	10350	2442	1606	1402	485	362	240	18219	11992	0.6582139524672046
260756	Felis Pimeja	2011-01-01	20906	17494	11339	4387	2892	2295	890	683	338	26183	13972	0.5336286903716152
260756	Felis Pimeja	2011-02-01	37252	33579	31083	5802	4577	3572	1073	945	669	44127	35324	0.8005076257166814
260756	Felis Pimeja	2011-03-01	333	277	103	216	22	148	3	0	1	552	252	0.45652173913043476
260756	Felis Pimeja	2011-04-01	557	310	362	270	94	69	22	9	6	849	437	0.5147232037691402
260756	Felis Pimeja	2011-05-01	2429	1978	1866	865	445	390	180	102	74	3474	2330	0.6706966033390904
260756	Felis Pimeja	2011-06-01	0	0	0	3	0	2	28	0	0	31	2	0.06451612903225806
260756	Felis Pimeja	2011-07-01	6535	5168	3559	2096	1011	1036	341	161	84	8972	4679	0.5215113687026304
260756	Felis Pimeja	2011-08-01	17888	10066	10106	4372	1236	1238	107	64	28	22367	11372	0.508427594223633
260756	Felis Pimeja	2011-09-01	4926	2814	1345	868	451	376	106	81	29	5900	1750	0.2966101694915254
260756	Felis Pimeja	2011-10-01	18759	14003	11742	5060	3645	2479	1252	753	531	25071	14752	0.5884089186709744
260756	Felis Pimeja	2011-11-01	13438	8924	10354	2953	2116	2065	418	333	268	16809	12687	0.7547742280920935
260756	Felis Pimeja	2011-12-01	7165	3719	5015	2159	1241	1181	401	224	169	9725	6365	0.6544987146529563
260756	Felis Pimeja	2012-01-01	1903	1014	1424	395	325	272	18	17	4	2316	1700	0.7340241796200345
260756	Felis Pimeja	2012-02-01	2036	1560	2017	387	309	362	25	10	10	2448	2389	0.9758986928104575
260756	Felis Pimeja	2012-03-01	4047	2125	3127	635	471	470	17	2	6	4699	3603	0.7667588848691211
260756	Felis Pimeja	2012-04-01	12816	9639	8392	4345	2842	2955	980	622	445	18141	11792	0.6500192933134887
260756	Felis Pimeja	2012-05-01	1	0	0	0	0	0	0	0	0	1	0	0
260756	Felis Pimeja	2012-07-01	0	0	0	0	0	0	2	0	0	2	0	0
260756	Felis Pimeja	2012-08-01	4370	2912	3337	1156	564	560	129	66	51	5655	3948	0.6981432360742705
260756	Felis Pimeja	2012-09-01	2454	1646	1891	3648	606	1379	186	64	70	6288	3340	0.5311704834605598
260756	Felis Pimeja	2012-10-01	19251	13612	15831	2936	1759	1756	257	169	141	22444	17728	0.7898770272678667
260756	Felis Pimeja	2012-11-01	2651	1764	2031	742	412	449	125	29	29	3518	2509	0.7131893121091529
260756	Felis Pimeja	2012-12-01	0	0	0	0	0	0	1	0	0	1	0	0
260756	Felis Pimeja	2013-01-01	713	501	576	160	79	71	9	6	5	882	652	0.7392290249433107
260756	Felis Pimeja	2013-02-01	241	229	217	51	29	18	48	6	1	340	236	0.6941176470588235
260756	Felis Pimeja	2013-03-01	1841	970	1493	327	157	195	11	10	11	2179	1699	0.7797154658100046
260756	Felis Pimeja	2013-04-01	19933	6355	12418	1561	1007	1174	131	100	99	21625	13691	0.6331098265895954
