uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
28466	shekhar	2008-07-01	166	33	35	37	14	16	1	1	0	204	51	0.25
28466	shekhar	2010-04-01	86590	86590	59712	698	698	2	0	0	0	87288	59714	0.6841031986069105
28466	shekhar	2011-04-01	145	18	22	5	2	2	0	0	0	150	24	0.16
28466	shekhar	2011-05-01	4672	3187	3268	1216	608	467	0	0	0	5888	3735	0.6343410326086957
28466	shekhar	2011-06-01	4109	3668	3759	1096	786	819	0	0	0	5205	4578	0.8795389048991354
28466	shekhar	2011-07-01	609	444	448	159	80	89	0	0	0	768	537	0.69921875
28466	shekhar	2011-08-01	10	5	8	5	1	2	0	0	0	15	10	0.6666666666666666
28466	shekhar	2011-09-01	673	171	597	81	31	42	0	0	0	754	639	0.8474801061007957
28466	shekhar	2011-10-01	139	119	82	28	15	8	0	0	0	167	90	0.5389221556886228
28466	shekhar	2011-11-01	1598	1410	1338	336	231	237	3	3	3	1937	1578	0.8146618482188952
28466	shekhar	2011-12-01	344	330	299	76	64	69	0	0	0	420	368	0.8761904761904762
28466	shekhar	2012-02-01	1421	840	1260	348	183	216	0	0	0	1769	1476	0.8343697003957038
28466	shekhar	2012-03-01	631	446	627	126	102	104	0	0	0	757	731	0.9656538969616909
28466	shekhar	2012-10-01	182	147	174	61	36	42	0	0	0	243	216	0.8888888888888888
28466	shekhar	2013-02-01	3	4	0	2	1	1	0	0	0	5	1	0.2
28466	shekhar	2015-01-01	4	4	3	1	1	1	0	0	0	5	4	0.8
1306	PlaneMad	2008-02-01	0	0	0	5	0	2	0	0	0	5	2	0.4
1306	PlaneMad	2009-05-01	0	0	0	0	0	0	0	0	0	0	0	0
1306	PlaneMad	2010-01-01	3104	2234	1820	985	203	219	0	0	0	4089	2039	0.4986549278552213
1306	PlaneMad	2010-02-01	3519	2682	2387	1030	267	199	0	0	0	4549	2586	0.5684765882611563
1306	PlaneMad	2010-03-01	1739	1262	1299	259	165	130	0	0	0	1998	1429	0.7152152152152152
1306	PlaneMad	2010-04-01	1497	928	1103	348	112	100	0	0	0	1845	1203	0.6520325203252032
1306	PlaneMad	2010-05-01	4	3	4	1	0	0	2	2	1	7	5	0.7142857142857143
1306	PlaneMad	2010-06-01	0	0	0	0	0	0	2	0	0	2	0	0
1306	PlaneMad	2010-07-01	0	0	0	0	0	0	1	0	0	1	0	0
1306	PlaneMad	2010-08-01	0	0	0	8	2	1	0	0	0	8	1	0.125
1306	PlaneMad	2010-10-01	1272	1103	1080	183	85	31	0	0	0	1455	1111	0.763573883161512
1306	PlaneMad	2010-11-01	2	1	1	18	2	0	0	0	0	20	1	0.05
1306	PlaneMad	2010-12-01	0	0	0	0	0	0	3	0	0	3	0	0
1306	PlaneMad	2011-01-01	343	259	222	152	44	25	4	0	0	499	247	0.49498997995991983
1306	PlaneMad	2011-02-01	10	2	10	1	0	1	0	0	0	11	11	1
1306	PlaneMad	2011-04-01	1730	1087	1268	280	151	82	1	0	0	2011	1350	0.6713078070611636
1306	PlaneMad	2011-05-01	88	76	57	21	5	3	0	0	0	109	60	0.5504587155963303
1306	PlaneMad	2011-06-01	0	0	0	0	0	0	0	0	0	0	0	0
1306	PlaneMad	2011-07-01	6940	6068	5552	901	564	187	3	1	0	7844	5739	0.7316420193778684
1306	PlaneMad	2011-08-01	2088	1605	1807	315	182	100	0	0	0	2403	1907	0.7935913441531419
1306	PlaneMad	2011-09-01	4	0	3	0	0	0	0	0	0	4	3	0.75
1306	PlaneMad	2011-10-01	25	23	25	6	3	5	0	0	0	31	30	0.967741935483871
1306	PlaneMad	2011-11-01	483	444	441	76	53	54	2	0	0	561	495	0.8823529411764706
1306	PlaneMad	2011-12-01	73	42	29	18	7	1	0	0	0	91	30	0.32967032967032966
1306	PlaneMad	2012-01-01	39	25	20	9	2	2	0	0	0	48	22	0.4583333333333333
1306	PlaneMad	2012-02-01	13943	10572	11680	3432	1533	1208	9	2	3	17384	12891	0.7415439484583525
1306	PlaneMad	2012-03-01	1273	909	1123	338	127	102	1	0	0	1612	1225	0.7599255583126551
1306	PlaneMad	2012-04-01	457	338	393	119	47	45	0	0	0	576	438	0.7604166666666666
1306	PlaneMad	2012-05-01	1	0	0	0	0	0	1	0	0	2	0	0
1306	PlaneMad	2012-06-01	0	0	0	5	2	3	2	0	0	7	3	0.42857142857142855
1306	PlaneMad	2012-08-01	481	456	378	78	46	13	1	0	0	560	391	0.6982142857142857
1306	PlaneMad	2012-12-01	0	0	0	5	0	2	1	0	0	6	2	0.3333333333333333
1306	PlaneMad	2013-02-01	8754	6448	8146	2818	1019	1836	9	4	6	11581	9988	0.8624471116483896
1306	PlaneMad	2013-03-01	384	322	374	83	49	59	0	0	0	467	433	0.9271948608137045
1306	PlaneMad	2013-04-01	255	142	221	70	15	56	0	0	0	325	277	0.8523076923076923
1306	PlaneMad	2013-05-01	757	502	714	574	54	406	0	0	0	1331	1120	0.8414725770097671
1306	PlaneMad	2013-08-01	2953	2071	2721	2909	329	1912	6	1	2	5868	4635	0.7898773006134969
1306	PlaneMad	2013-09-01	2378	1724	2271	1422	325	932	1	1	1	3801	3204	0.8429360694554064
1306	PlaneMad	2013-10-01	0	0	0	0	0	0	2	0	0	2	0	0
1306	PlaneMad	2013-11-01	56	55	55	12	12	11	7	0	0	75	66	0.88
1306	PlaneMad	2013-12-01	781	635	710	191	79	109	2	1	1	974	820	0.8418891170431212
1306	PlaneMad	2014-01-01	2583	1968	2521	609	231	466	3	1	1	3195	2988	0.9352112676056338
1306	PlaneMad	2014-02-01	1173	896	1014	270	134	192	0	0	0	1443	1206	0.8357588357588358
1306	PlaneMad	2014-04-01	36	35	35	5	3	3	0	0	0	41	38	0.926829268292683
1306	PlaneMad	2014-07-01	316	207	223	133	42	87	0	0	0	449	310	0.6904231625835189
1306	PlaneMad	2014-11-01	31	28	30	3	2	2	0	0	0	34	32	0.9411764705882353
1306	PlaneMad	2014-12-01	1	0	0	0	0	0	0	0	0	1	0	0
1306	PlaneMad	2015-01-01	34	29	33	5	3	5	1	0	1	40	39	0.975
99655	MJL Wood	2009-07-01	7	5	4	2	1	1	0	0	0	9	5	0.5555555555555556
99655	MJL Wood	2009-08-01	10572	3721	4272	2266	783	677	0	0	0	12838	4949	0.38549618320610685
99655	MJL Wood	2009-09-01	6177	2762	2784	1447	459	508	22	4	3	7646	3295	0.43094428459325135
99655	MJL Wood	2009-10-01	4559	1997	1662	1028	309	329	0	0	0	5587	1991	0.35636298550205836
99655	MJL Wood	2009-11-01	2673	1179	1388	153	46	47	0	0	0	2826	1435	0.5077848549186129
99655	MJL Wood	2009-12-01	4773	2879	3169	471	144	167	0	0	0	5244	3336	0.6361556064073226
99655	MJL Wood	2010-01-01	5736	3712	3338	1466	572	502	0	0	0	7202	3840	0.5331852263260205
99655	MJL Wood	2010-02-01	2762	1445	1800	113	55	40	1	0	0	2876	1840	0.6397774687065368
