uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
408968	ngendahayojc	2011-02-01	286	286	230	34	32	3	0	0	0	320	233	0.728125
408968	ngendahayojc	2011-03-01	4	4	3	2	2	0	0	0	0	6	3	0.5
408968	ngendahayojc	2011-07-01	9380	9096	8341	1376	1357	1238	0	0	0	10756	9579	0.8905727036072889
408968	ngendahayojc	2011-08-01	11839	11427	11096	1930	1783	1367	0	0	0	13769	12463	0.9051492483114242
408968	ngendahayojc	2011-09-01	17019	17015	16727	2553	2536	2444	0	0	0	19572	19171	0.9795115471081136
408968	ngendahayojc	2011-10-01	3329	3293	3073	620	599	381	0	0	0	3949	3454	0.8746518105849582
408968	ngendahayojc	2011-11-01	30	30	29	4	4	4	0	0	0	34	33	0.9705882352941176
408968	ngendahayojc	2011-12-01	40	40	39	2	2	2	0	0	0	42	41	0.9761904761904762
18236	bo_robert_pedersen	2008-04-01	2230	1860	1212	681	159	53	0	0	0	2911	1265	0.4345585709378221
18236	bo_robert_pedersen	2008-05-01	56	56	53	5	2	0	0	0	0	61	53	0.8688524590163934
18236	bo_robert_pedersen	2008-06-01	1794	1718	1370	403	148	44	0	0	0	2197	1414	0.6436049157942649
18236	bo_robert_pedersen	2008-07-01	15957	15490	11736	2034	774	215	0	0	0	17991	11951	0.6642765827358124
18236	bo_robert_pedersen	2008-08-01	4304	4154	3396	979	348	108	0	0	0	5283	3504	0.663259511641113
18236	bo_robert_pedersen	2008-09-01	3313	3098	2608	1257	494	185	0	0	0	4570	2793	0.6111597374179432
18236	bo_robert_pedersen	2008-10-01	1388	393	704	113	34	20	0	0	0	1501	724	0.4823451032644903
18236	bo_robert_pedersen	2008-11-01	277	80	95	35	13	6	0	0	0	312	101	0.32371794871794873
18236	bo_robert_pedersen	2009-02-01	106	35	27	9	3	0	0	0	0	115	27	0.23478260869565218
18236	bo_robert_pedersen	2009-03-01	369	76	67	53	13	3	0	0	0	422	70	0.16587677725118483
18236	bo_robert_pedersen	2009-04-01	5706	317	2409	221	42	67	0	0	0	5927	2476	0.41774928294246666
18236	bo_robert_pedersen	2009-05-01	262	164	197	151	36	38	0	0	0	413	235	0.5690072639225182
18236	bo_robert_pedersen	2009-09-01	139	117	82	99	31	28	0	0	0	238	110	0.46218487394957986
18236	bo_robert_pedersen	2009-10-01	0	0	0	11	0	10	0	0	0	11	10	0.9090909090909091
18236	bo_robert_pedersen	2009-11-01	215	126	106	198	28	38	0	0	0	413	144	0.3486682808716707
18236	bo_robert_pedersen	2009-12-01	1072	789	741	286	93	86	0	0	0	1358	827	0.6089837997054491
18236	bo_robert_pedersen	2010-02-01	271	226	213	160	47	43	0	0	0	431	256	0.5939675174013921
18236	bo_robert_pedersen	2010-09-01	14	8	8	3	1	1	0	0	0	17	9	0.5294117647058824
