uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1781294	Rub21_nycbuildings	2013-10-01	42418	42389	42331	6534	6486	4694	1	1	0	48953	47025	0.9606152840479644
1781294	Rub21_nycbuildings	2013-11-01	746534	745708	742666	143223	142873	113141	137	131	107	889894	855914	0.9618156769233189
1781294	Rub21_nycbuildings	2013-12-01	789380	788424	784980	158426	157684	122760	307	298	268	948113	908008	0.9577001897453151
1781294	Rub21_nycbuildings	2014-03-01	152979	150196	149774	24075	23506	21440	155	143	112	177209	171326	0.9668019118667788
1781294	Rub21_nycbuildings	2014-04-01	505508	501751	502755	65536	64814	63574	705	679	654	571749	566983	0.9916641743142532
1781294	Rub21_nycbuildings	2014-05-01	1981954	1979729	1979579	371528	370125	369673	283	265	262	2353765	2349514	0.9981939573406861
1781294	Rub21_nycbuildings	2014-06-01	20347	20238	20254	3680	3543	3643	6	3	5	24033	23902	0.9945491615695086
1781294	Rub21_nycbuildings	2014-07-01	3488	3462	3487	512	502	512	0	0	0	4000	3999	0.99975
7168	DaveHansenTiger	2007-09-01	72608	72609	4080	18738	18738	1566	0	0	0	91346	5646	0.06180894620454098
7168	DaveHansenTiger	2007-10-01	15001	15002	368	5221	5221	311	0	0	0	20222	679	0.03357729205815448
7168	DaveHansenTiger	2007-11-01	557354	557355	14978	66028	66028	10198	0	0	0	623382	25176	0.04038615166944185
7168	DaveHansenTiger	2008-01-01	136551	136552	1964	21137	21137	2445	0	0	0	157688	4409	0.02796027598802699
7168	DaveHansenTiger	2008-02-01	0	0	0	4	1	2	0	0	0	4	2	0.5
7168	DaveHansenTiger	2008-03-01	106137	106138	2832	11353	11353	1147	0	0	0	117490	3979	0.0338667120606009
7168	DaveHansenTiger	2008-05-01	160221	160222	5274	23858	23858	1727	0	0	0	184079	7001	0.03803258383628768
1812841	ingalls_nycbuildings	2013-11-01	676850	676353	670355	128562	128147	42141	50	36	29	805462	712525	0.8846165306370753
1812841	ingalls_nycbuildings	2013-12-01	216658	216312	214649	40496	40297	30787	23	22	21	257177	245457	0.9544282731348449
147510	woodpeck_fixbot	2009-07-01	0	0	0	765	0	182	0	0	0	765	182	0.23790849673202613
