uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
300459	didier2020	2010-06-01	0	0	0	3	0	0	0	0	0	3	0	0
300459	didier2020	2010-07-01	6158	4387	4726	1711	814	107	79	27	16	7948	4849	0.610090588827378
300459	didier2020	2010-08-01	1779	1479	1361	581	105	66	16	2	2	2376	1429	0.6014309764309764
300459	didier2020	2010-09-01	3351	762	2104	1508	225	227	195	38	96	5054	2427	0.48021369212504944
300459	didier2020	2010-10-01	128	24	28	227	26	21	24	6	2	379	51	0.1345646437994723
300459	didier2020	2010-11-01	47334	46170	45206	7834	7286	303	143	35	10	55311	45519	0.8229646905678798
300459	didier2020	2010-12-01	27848	26492	26215	6144	4510	341	226	44	25	34218	26581	0.7768133730784967
300459	didier2020	2011-01-01	26186	25705	25544	6156	5059	109	103	17	19	32445	25672	0.7912467252273078
300459	didier2020	2011-02-01	136	50	111	28	14	10	2	0	0	166	121	0.7289156626506024
300459	didier2020	2011-03-01	1015	568	552	639	184	112	40	8	3	1694	667	0.3937426210153483
300459	didier2020	2011-05-01	136	103	92	95	42	49	9	1	1	240	142	0.5916666666666667
300459	didier2020	2011-06-01	87	77	40	80	10	30	3	0	0	170	70	0.4117647058823529
300459	didier2020	2011-07-01	173952	172351	172129	36955	30489	33628	124	46	48	211031	205805	0.9752358658206615
300459	didier2020	2011-08-01	23026	17519	20577	76563	2879	68973	282	75	68	99871	89618	0.8973375654594427
300459	didier2020	2011-09-01	1583	581	1207	213876	145	164633	121	21	17	215580	165857	0.7693524445681418
300459	didier2020	2011-10-01	23804	21983	22949	15304	4370	12916	97	29	21	39205	35886	0.9153424308123964
300459	didier2020	2011-11-01	1916	510	1600	921	85	457	62	11	9	2899	2066	0.7126595377716454
300459	didier2020	2011-12-01	38142	36060	37312	11352	6375	10835	86	20	31	49580	48178	0.9717224687373941
300459	didier2020	2012-01-01	1024703	1014758	1017081	209645	187883	197388	766	306	387	1235114	1214856	0.983598275138975
300459	didier2020	2012-02-01	306549	300976	300635	58063	56175	54853	118	59	56	364730	355544	0.9748142461546898
300459	didier2020	2012-03-01	2719	1035	2568	2343	84	1693	48	9	17	5110	4278	0.8371819960861057
300459	didier2020	2012-04-01	184194	111991	181068	31533	20745	27430	37	18	17	215764	208515	0.9664031070984965
300459	didier2020	2012-05-01	9051	658	8928	1350	33	968	4	2	2	10405	9898	0.9512734262373859
300459	didier2020	2012-06-01	1684	375	1391	790	54	502	17	10	11	2491	1904	0.7643516659975913
300459	didier2020	2012-07-01	344	98	281	406	23	311	3	0	1	753	593	0.7875166002656042
