uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
404518	canvec_fsteggink	2011-02-01	45724	45677	42724	5786	5770	5170	41	41	24	51551	47918	0.9295261003666272
404518	canvec_fsteggink	2011-03-01	154751	154643	134570	34210	34156	32512	115	110	41	189076	167123	0.8838932492754237
404518	canvec_fsteggink	2011-05-01	0	0	0	0	0	0	0	0	0	0	0	0
404518	canvec_fsteggink	2011-11-01	0	0	0	0	0	0	1	0	0	1	0	0
404518	canvec_fsteggink	2011-12-01	0	0	0	0	0	0	6	0	0	6	0	0
595246	BrunoRemy	2012-01-01	154	112	58	40	10	15	0	0	0	194	73	0.37628865979381443
595246	BrunoRemy	2012-02-01	3008	2477	1748	526	347	235	6	2	0	3540	1983	0.5601694915254237
595246	BrunoRemy	2012-03-01	4	5	1	1	1	1	0	0	0	5	2	0.4
595246	BrunoRemy	2012-04-01	11446	9551	9911	1731	1312	1188	111	6	5	13288	11104	0.8356411800120409
595246	BrunoRemy	2012-05-01	3814	2658	2614	630	442	314	28	6	5	4472	2933	0.6558586762075134
595246	BrunoRemy	2012-06-01	1035	710	640	211	103	136	8	0	2	1254	778	0.620414673046252
595246	BrunoRemy	2012-07-01	1743	1134	1319	249	154	136	19	3	1	2011	1456	0.7240179015415217
595246	BrunoRemy	2012-08-01	88	63	68	21	15	11	0	0	0	109	79	0.7247706422018348
595246	BrunoRemy	2012-10-01	104	68	89	21	10	12	1	0	0	126	101	0.8015873015873016
595246	BrunoRemy	2012-11-01	11845	9758	9732	2038	1671	1607	33	19	11	13916	11350	0.8156079333141707
595246	BrunoRemy	2012-12-01	6886	6105	6068	453	307	277	37	29	11	7376	6356	0.8617136659436009
595246	BrunoRemy	2013-01-01	8479	219	8218	121	40	63	3	0	1	8603	8282	0.9626874346158317
595246	BrunoRemy	2013-02-01	792	0	767	0	0	0	0	0	0	792	767	0.9684343434343434
595246	BrunoRemy	2013-03-01	7652	2977	6775	845	451	592	35	12	20	8532	7387	0.8657993436474449
