uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
893594	Alexandrecw	2012-09-01	12606	10513	10138	2496	1383	559	89	29	22	15191	10719	0.7056151668751234
893594	Alexandrecw	2012-10-01	43323	41090	39816	3493	2536	1229	52	39	34	46868	41079	0.8764828881112913
893594	Alexandrecw	2012-11-01	279	262	257	22	14	9	1	1	1	302	267	0.8841059602649006
893594	Alexandrecw	2012-12-01	2201	2152	2104	68	47	24	1	0	1	2270	2129	0.9378854625550661
893594	Alexandrecw	2013-01-01	36045	34976	33564	4067	3257	946	64	62	52	40176	34562	0.8602648347272003
893594	Alexandrecw	2013-02-01	29617	28989	27399	3992	3145	1468	27	25	19	33636	28886	0.8587822571054822
893594	Alexandrecw	2013-03-01	2675	2675	2541	30	26	5	1	1	1	2706	2547	0.9412416851441242
893594	Alexandrecw	2013-04-01	2863	2851	2670	153	135	51	3	3	1	3019	2722	0.9016230539913879
893594	Alexandrecw	2013-05-01	9	9	8	3	1	0	0	0	0	12	8	0.6666666666666666
893594	Alexandrecw	2013-09-01	2629	2564	2477	355	297	230	3	2	1	2987	2708	0.9065952460662873
893594	Alexandrecw	2014-05-01	1969	1883	1909	361	322	342	14	9	9	2344	2260	0.9641638225255973
893594	Alexandrecw	2014-06-01	30572	28832	30054	2447	1877	1878	50	15	21	33069	31953	0.9662523813843781
893594	Alexandrecw	2014-07-01	15335	14802	15300	1017	683	929	28	7	10	16380	16239	0.9913919413919414
893594	Alexandrecw	2014-08-01	14684	14602	14665	490	397	439	19	7	6	15193	15110	0.9945369578095176
893594	Alexandrecw	2014-09-01	109030	107718	108079	1504	1160	1309	50	22	22	110584	109410	0.9893836359690371
893594	Alexandrecw	2014-10-01	2723	2656	2721	431	360	408	0	0	0	3154	3129	0.9920735573874445
893594	Alexandrecw	2014-11-01	2844	2797	2842	466	370	453	2	0	2	3312	3297	0.9954710144927537
289524	Import Rio	2010-05-01	6164	6138	5473	434	402	168	4	1	0	6602	5641	0.8544380490760376
289524	Import Rio	2010-06-01	46743	46558	43877	729	709	256	0	0	0	47472	44133	0.9296638018200202
289524	Import Rio	2010-07-01	17530	17484	15944	373	161	111	3	2	0	17906	16055	0.8966268289958673
289524	Import Rio	2010-08-01	41415	41122	37418	604	521	382	44	18	11	42063	37811	0.8989135344602145
289524	Import Rio	2010-11-01	55523	55497	50265	2709	2617	1852	57	14	7	58289	52124	0.8942339034809312
289524	Import Rio	2011-03-01	110	110	103	0	0	0	118	118	118	228	221	0.9692982456140351
289524	Import Rio	2012-02-01	670	670	669	21	17	18	6	3	3	697	690	0.9899569583931134
289524	Import Rio	2012-11-01	68430	68421	68429	408	361	383	13	0	1	68851	68813	0.9994480835427227
289524	Import Rio	2013-09-01	29080	28955	28105	208	197	154	42	29	26	29330	28285	0.9643709512444596
139043	AlNo	2009-07-01	6251	5503	3165	2050	731	317	0	0	0	8301	3482	0.41946753403204434
139043	AlNo	2009-08-01	9390	8617	6959	3844	1643	864	0	0	0	13234	7823	0.5911289103823485
139043	AlNo	2009-09-01	4727	4217	2754	1207	537	191	4	0	0	5938	2945	0.4959582350959919
139043	AlNo	2009-10-01	1829	1777	1050	934	456	108	0	0	0	2763	1158	0.4191096634093377
139043	AlNo	2009-11-01	3697	3402	2726	1890	1057	595	2	0	0	5589	3321	0.5942028985507246
139043	AlNo	2009-12-01	10141	9956	8628	4377	2332	1683	9	0	0	14527	10311	0.7097817856405314
139043	AlNo	2010-01-01	20045	19727	17816	7600	4427	3419	7	0	0	27652	21235	0.7679372197309418
139043	AlNo	2010-02-01	6710	6591	6274	2734	1606	1331	0	0	0	9444	7605	0.8052731893265566
139043	AlNo	2010-04-01	163	162	151	52	35	35	0	0	0	215	186	0.8651162790697674
139043	AlNo	2010-05-01	7052	6842	5912	3846	1894	1110	4	0	0	10902	7022	0.6441019996330949
139043	AlNo	2010-06-01	1807	1791	1531	573	351	231	0	0	0	2380	1762	0.7403361344537815
139043	AlNo	2010-07-01	15214	14953	13186	5738	3071	1982	15	0	0	20967	15168	0.7234225211045929
139043	AlNo	2010-08-01	2238	2157	1970	1059	538	425	5	0	0	3302	2395	0.7253179890975167
139043	AlNo	2010-09-01	0	0	0	0	0	0	0	0	0	0	0	0
139043	AlNo	2010-11-01	16553	16309	15631	5948	2960	2625	30	0	0	22531	18256	0.8102614176024144
139043	AlNo	2010-12-01	3905	3526	3460	1423	786	601	0	0	0	5328	4061	0.7621996996996997
139043	AlNo	2011-01-01	1348	1239	1252	317	162	143	5	0	0	1670	1395	0.8353293413173652
139043	AlNo	2011-03-01	641	614	584	336	166	103	0	0	0	977	687	0.7031729785056294
139043	AlNo	2011-04-01	11679	10658	10137	4873	2436	1951	16	0	0	16568	12088	0.7295992274263641
139043	AlNo	2011-05-01	3886	3661	3613	1916	1070	1192	5	0	0	5807	4805	0.8274496297571896
139043	AlNo	2011-06-01	13804	12540	13052	2670	2323	2228	7	1	1	16481	15281	0.92718888416965
139043	AlNo	2011-07-01	2357	1996	2261	427	314	340	0	0	0	2784	2601	0.9342672413793104
139043	AlNo	2011-08-01	4349	4218	4125	1177	1006	877	6	1	0	5532	5002	0.9041937816341287
139043	AlNo	2011-09-01	4516	4385	2850	966	798	461	1	0	0	5483	3311	0.6038664964435528
139043	AlNo	2011-11-01	1662	1581	1190	318	242	143	0	0	0	1980	1333	0.6732323232323232
139043	AlNo	2012-01-01	21	22	15	3	1	1	0	0	0	24	16	0.6666666666666666
139043	AlNo	2012-02-01	400	384	258	77	59	37	0	0	0	477	295	0.6184486373165619
139043	AlNo	2012-03-01	804	799	569	229	192	132	0	0	0	1033	701	0.6786060019361084
139043	AlNo	2012-04-01	384	358	333	90	78	73	0	0	0	474	406	0.8565400843881856
139043	AlNo	2012-05-01	7663	7617	7636	1865	1677	1643	0	0	0	9528	9279	0.9738664987405542
139043	AlNo	2012-06-01	4916	4854	4869	1204	1048	1041	0	0	0	6120	5910	0.9656862745098039
139043	AlNo	2012-07-01	1500	1360	1372	304	201	188	0	0	0	1804	1560	0.8647450110864745
