uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
30854	Julio_Costa_Zambelli	2008-03-01	12814	11131	2470	5946	1581	224	0	0	0	18760	2694	0.14360341151385927
30854	Julio_Costa_Zambelli	2008-04-01	2270	1810	457	716	206	33	0	0	0	2986	490	0.1640991292699263
30854	Julio_Costa_Zambelli	2008-05-01	31933	28941	12828	14392	4637	625	0	0	0	46325	13453	0.29040474905558555
30854	Julio_Costa_Zambelli	2008-06-01	8285	7407	3732	6413	1782	102	0	0	0	14698	3834	0.2608518165736835
30854	Julio_Costa_Zambelli	2008-07-01	18403	15124	8229	12899	3782	392	0	0	0	31302	8621	0.27541371158392436
30854	Julio_Costa_Zambelli	2008-08-01	15041	13738	9168	10096	3025	308	0	0	0	25137	9476	0.3769741814854597
30854	Julio_Costa_Zambelli	2008-09-01	2470	2064	1354	834	230	42	0	0	0	3304	1396	0.4225181598062954
30854	Julio_Costa_Zambelli	2008-10-01	21596	1996	1550	2358	607	95	0	0	0	23954	1645	0.06867329047340737
30854	Julio_Costa_Zambelli	2008-11-01	45952	4717	4104	2827	830	242	0	0	0	48779	4346	0.08909571741938128
30854	Julio_Costa_Zambelli	2008-12-01	9752	204	500	462	62	49	0	0	0	10214	549	0.05374975523790875
30854	Julio_Costa_Zambelli	2009-01-01	73710	4230	10724	5579	935	177	0	0	0	79289	10901	0.13748439253868758
30854	Julio_Costa_Zambelli	2009-02-01	8608	753	818	610	143	23	0	0	0	9218	841	0.09123454111520937
30854	Julio_Costa_Zambelli	2009-03-01	17899	1397	1767	1317	442	32	0	0	0	19216	1799	0.09361990008326394
30854	Julio_Costa_Zambelli	2009-04-01	32843	3951	4932	2484	500	147	16	3	0	35343	5079	0.143705967235379
30854	Julio_Costa_Zambelli	2009-05-01	3449	2641	1742	1101	325	69	0	0	0	4550	1811	0.39802197802197803
30854	Julio_Costa_Zambelli	2009-06-01	7463	6899	4172	2452	1748	336	26	12	0	9941	4508	0.45347550548234583
30854	Julio_Costa_Zambelli	2009-07-01	12482	10958	7258	3094	2191	544	65	18	0	15641	7802	0.498817211175756
30854	Julio_Costa_Zambelli	2009-08-01	7283	5246	3654	2329	1303	326	64	12	0	9676	3980	0.41132699462587846
30854	Julio_Costa_Zambelli	2009-09-01	3696	3389	1491	1588	899	246	11	6	3	5295	1740	0.3286118980169972
30854	Julio_Costa_Zambelli	2009-10-01	859	549	135	222	111	27	0	0	0	1081	162	0.1498612395929695
30854	Julio_Costa_Zambelli	2009-11-01	1376	1113	643	420	282	77	1	0	0	1797	720	0.4006677796327212
30854	Julio_Costa_Zambelli	2009-12-01	4725	2991	1736	727	332	175	15	0	0	5467	1911	0.3495518565941101
30854	Julio_Costa_Zambelli	2010-01-01	6113	4826	3398	1030	552	314	11	1	2	7154	3714	0.5191501258037462
30854	Julio_Costa_Zambelli	2010-02-01	1173	357	453	192	23	35	4	0	0	1369	488	0.3564645726807889
30854	Julio_Costa_Zambelli	2010-03-01	2534	1686	1076	657	291	231	9	0	0	3200	1307	0.4084375
30854	Julio_Costa_Zambelli	2010-04-01	1564	1082	675	283	130	88	6	1	0	1853	763	0.4117647058823529
30854	Julio_Costa_Zambelli	2010-05-01	1827	943	1218	279	117	96	2	1	0	2108	1314	0.6233396584440227
30854	Julio_Costa_Zambelli	2010-06-01	1152	918	372	218	111	78	0	0	0	1370	450	0.3284671532846715
30854	Julio_Costa_Zambelli	2010-07-01	1884	415	1031	329	53	69	42	0	0	2255	1100	0.4878048780487805
30854	Julio_Costa_Zambelli	2010-08-01	1641	86	493	33	8	6	1	0	0	1675	499	0.297910447761194
30854	Julio_Costa_Zambelli	2010-09-01	3890	3392	2192	175	76	49	2	0	1	4067	2242	0.5512662896483895
30854	Julio_Costa_Zambelli	2010-10-01	3135	990	1364	228	113	54	5	1	0	3368	1418	0.42102137767220904
30854	Julio_Costa_Zambelli	2010-11-01	2556	1749	1499	575	177	233	5	1	1	3136	1733	0.5526147959183674
30854	Julio_Costa_Zambelli	2010-12-01	6236	5159	3913	2979	719	1296	0	0	0	9215	5209	0.5652740097666847
30854	Julio_Costa_Zambelli	2011-01-01	201	83	135	492	39	329	4	3	1	697	465	0.667144906743185
30854	Julio_Costa_Zambelli	2011-02-01	586	442	347	237	84	108	1	0	0	824	455	0.5521844660194175
30854	Julio_Costa_Zambelli	2011-03-01	1142	567	530	90	28	19	1	0	0	1233	549	0.44525547445255476
30854	Julio_Costa_Zambelli	2011-04-01	388	83	181	20	10	7	17	5	2	425	190	0.4470588235294118
30854	Julio_Costa_Zambelli	2011-05-01	2033	1999	1785	107	73	31	19	0	0	2159	1816	0.841130152848541
30854	Julio_Costa_Zambelli	2011-06-01	164	74	120	15	0	1	24	1	0	203	121	0.5960591133004927
30854	Julio_Costa_Zambelli	2011-07-01	772	529	534	455	99	236	27	2	1	1254	771	0.6148325358851675
30854	Julio_Costa_Zambelli	2011-08-01	210	89	100	55	18	30	3	0	0	268	130	0.48507462686567165
30854	Julio_Costa_Zambelli	2011-09-01	1	1	0	0	0	0	3	0	0	4	0	0
30854	Julio_Costa_Zambelli	2011-10-01	5	0	3	2	0	0	14	0	0	21	3	0.14285714285714285
30854	Julio_Costa_Zambelli	2011-11-01	1215	647	372	293	201	77	71	5	1	1579	450	0.2849905003166561
30854	Julio_Costa_Zambelli	2011-12-01	3264	2764	2608	400	266	144	9	0	0	3673	2752	0.7492512932208004
30854	Julio_Costa_Zambelli	2012-02-01	173	168	36	42	41	41	0	0	0	215	77	0.3581395348837209
30854	Julio_Costa_Zambelli	2012-03-01	2497	1873	1293	491	414	246	0	0	0	2988	1539	0.5150602409638554
30854	Julio_Costa_Zambelli	2012-04-01	1091	767	654	210	139	111	8	0	0	1309	765	0.5844155844155844
30854	Julio_Costa_Zambelli	2012-05-01	831	611	415	142	96	59	1	0	0	974	474	0.486652977412731
