uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
447903	Glassman	2011-05-01	1727	1381	1139	267	202	106	5	1	0	1999	1245	0.6228114057028514
447903	Glassman	2011-06-01	745	731	379	117	91	42	0	0	0	862	421	0.48839907192575405
447903	Glassman	2011-07-01	1	1	0	0	0	0	0	0	0	1	0	0
447903	Glassman	2011-10-01	22	22	3	17	7	1	0	0	0	39	4	0.10256410256410256
447903	Glassman	2011-11-01	71	28	44	7	4	1	1	0	0	79	45	0.569620253164557
447903	Glassman	2011-12-01	1	2	0	0	0	0	0	0	0	1	0	0
447903	Glassman	2012-01-01	305	286	98	50	40	20	0	0	0	355	118	0.3323943661971831
447903	Glassman	2012-02-01	16	16	5	8	5	0	0	0	0	24	5	0.20833333333333334
447903	Glassman	2012-03-01	2478	2320	1721	469	368	136	10	0	1	2957	1858	0.628339533310788
447903	Glassman	2012-04-01	22369	18663	13983	3614	1825	924	41	3	3	26024	14910	0.5729326775284352
447903	Glassman	2012-05-01	32184	24705	22979	4546	1948	1997	14	4	2	36744	24978	0.6797844546048334
447903	Glassman	2012-06-01	3616	2645	2864	393	210	155	3	3	2	4012	3021	0.7529910269192422
447903	Glassman	2012-07-01	8098	4854	6051	1466	520	745	3	3	1	9567	6797	0.7104630500679419
447903	Glassman	2012-08-01	1489	881	1212	173	72	53	6	2	0	1668	1265	0.7583932853717026
447903	Glassman	2012-09-01	130	122	83	17	4	1	1	0	0	148	84	0.5675675675675675
447903	Glassman	2012-10-01	131	34	92	16	2	5	0	0	0	147	97	0.6598639455782312
447903	Glassman	2012-11-01	2908	2754	2739	366	316	263	2	2	2	3276	3004	0.9169719169719169
447903	Glassman	2012-12-01	4248	4165	4207	486	475	472	2	0	1	4736	4680	0.9881756756756757
447903	Glassman	2013-01-01	3655	3554	3158	169	89	95	0	0	0	3824	3253	0.8506799163179917
447903	Glassman	2013-02-01	14163	13917	12980	115	1	60	1	0	1	14279	13041	0.9132992506478045
447903	Glassman	2013-03-01	404	396	402	22	21	21	0	0	0	426	423	0.9929577464788732
447903	Glassman	2013-04-01	167990	166455	165713	18527	18383	17902	20	20	13	186537	183628	0.9844052386389831
447903	Glassman	2013-05-01	1650	1467	1427	168	113	114	6	5	4	1824	1545	0.8470394736842105
447903	Glassman	2013-06-01	35836	35104	35036	3883	3624	3573	9	8	6	39728	38615	0.9719844945630286
447903	Glassman	2013-07-01	378407	376048	373521	42525	41685	41153	59	51	42	420991	414716	0.9850946932357224
447903	Glassman	2013-08-01	142914	141941	140232	15569	15331	15087	41	41	30	158524	155349	0.9799714869672731
447903	Glassman	2013-09-01	115904	112499	113180	12970	11271	12290	28	26	22	128902	125492	0.973545794479527
447903	Glassman	2013-10-01	2135	1204	1958	528	150	376	16	16	12	2679	2346	0.8756998880179171
447903	Glassman	2013-11-01	1178	1016	892	346	196	184	1	1	1	1525	1077	0.7062295081967213
447903	Glassman	2013-12-01	315	239	303	76	41	54	0	0	0	391	357	0.9130434782608695
447903	Glassman	2014-01-01	2596	1424	1895	302	163	250	4	0	0	2902	2145	0.739145416953825
447903	Glassman	2014-02-01	1067	363	843	272	40	222	5	0	4	1344	1069	0.7953869047619048
447903	Glassman	2014-03-01	298	138	199	60	22	39	1	0	1	359	239	0.6657381615598886
447903	Glassman	2014-04-01	492	248	458	346	23	282	2	0	0	840	740	0.8809523809523809
447903	Glassman	2014-05-01	1214	429	1127	1048	29	948	5	3	1	2267	2076	0.9157476841640935
447903	Glassman	2014-06-01	755	615	663	158	56	124	5	1	2	918	789	0.8594771241830066
447903	Glassman	2014-07-01	1719	1481	1691	242	64	227	4	0	4	1965	1922	0.978117048346056
447903	Glassman	2014-08-01	7270	6432	6820	1129	232	868	2	1	1	8401	7689	0.9152481847399119
447903	Glassman	2014-09-01	123	116	118	44	28	35	1	1	1	168	154	0.9166666666666666
447903	Glassman	2014-10-01	4	2	4	2	1	0	1	0	0	7	4	0.5714285714285714
447903	Glassman	2014-11-01	202	111	188	44	1	25	1	1	1	247	214	0.8663967611336032
447903	Glassman	2014-12-01	110	64	97	49	10	34	10	0	1	169	132	0.7810650887573964
447903	Glassman	2015-01-01	160	128	129	28	9	12	8	4	3	196	144	0.7346938775510204
