uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
74529	cyana	2008-10-01	3832	1013	586	113	47	20	0	0	0	3945	606	0.15361216730038021
74529	cyana	2009-02-01	6090	878	1680	300	81	70	0	0	0	6390	1750	0.27386541471048514
74529	cyana	2009-03-01	75040	25480	18718	171	30	26	4	0	0	75215	18744	0.24920561058299542
74529	cyana	2009-04-01	10177	8971	408	0	0	0	0	0	0	10177	408	0.04009039992139137
74529	cyana	2009-05-01	197	0	8	0	0	0	0	0	0	197	8	0.04060913705583756
74529	cyana	2009-06-01	2797	2795	227	15	3	2	15	3	3	2827	232	0.08206579412805094
74529	cyana	2009-07-01	34888	32763	23099	2520	1452	350	35	5	3	37443	23452	0.6263387014929359
74529	cyana	2009-08-01	293	176	73	49	15	6	0	0	0	342	79	0.2309941520467836
74529	cyana	2009-09-01	12	9	7	20	3	2	0	0	0	32	9	0.28125
74529	cyana	2009-10-01	77	77	75	6	1	0	0	0	0	83	75	0.9036144578313253
74529	cyana	2009-12-01	28057	28052	27610	8	5	1	0	0	0	28065	27611	0.9838232674149296
74529	cyana	2010-04-01	7189	0	6333	0	0	0	2	0	0	7191	6333	0.8806841885690446
74529	cyana	2010-06-01	27	0	25	2	0	0	0	0	0	29	25	0.8620689655172413
74529	cyana	2010-08-01	87	82	8	17	3	0	1	0	0	105	8	0.0761904761904762
74529	cyana	2010-11-01	131	58	98	5	0	1	0	0	0	136	99	0.7279411764705882
49261	HanDDol	2008-08-01	48008	45387	39531	935	449	274	19	7	1	48962	39806	0.8129978350557575
49261	HanDDol	2008-09-01	9338	9054	5375	139	68	76	4	0	0	9481	5451	0.5749393523889885
49261	HanDDol	2008-10-01	1028	1022	289	4	3	2	0	0	0	1032	291	0.2819767441860465
49261	HanDDol	2014-06-01	0	0	0	0	0	0	0	0	0	0	0	0
624466	panhoong	2015-10-01	11307	10821	11181	2860	2411	2616	0	0	0	14167	13797	0.9738829674595891
624466	panhoong	2015-11-01	34905	30718	34799	8046	6711	7672	10	0	1	42961	42472	0.9886175833895859
613089	전기곰돌	2012-03-01	494	430	338	155	46	29	0	0	0	649	367	0.5654853620955316
613089	전기곰돌	2014-02-01	10535	10497	10378	248	173	182	9	0	0	10792	10560	0.9785025945144552
613089	전기곰돌	2014-03-01	4189	4178	4152	62	32	23	7	0	0	4258	4175	0.9805072804133396
613089	전기곰돌	2014-04-01	16681	15159	15504	5450	2656	2394	38	0	0	22169	17898	0.8073435878930038
613089	전기곰돌	2014-05-01	901	832	879	391	179	225	0	0	0	1292	1104	0.8544891640866873
613089	전기곰돌	2014-06-01	14	14	12	2	1	0	0	0	0	16	12	0.75
613089	전기곰돌	2015-04-01	38	28	28	18	8	10	1	0	0	57	38	0.6666666666666666
613089	전기곰돌	2015-09-01	2	1	0	75	0	42	0	0	0	77	42	0.5454545454545454
