uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
7523	inas	2007-04-01	829	829	172	24	24	7	0	0	0	853	179	0.20984759671746775
7523	inas	2007-05-01	799	799	148	142	142	36	1	1	1	942	185	0.19639065817409768
7523	inas	2007-06-01	163	164	11	5	5	0	0	0	0	168	11	0.06547619047619048
7523	inas	2007-07-01	780	781	254	100	100	15	2	2	2	882	271	0.3072562358276644
7523	inas	2007-08-01	1492	1492	503	244	244	67	1	1	1	1737	571	0.32872769142199193
7523	inas	2007-09-01	697	698	252	103	103	21	0	0	0	800	273	0.34125
7523	inas	2007-10-01	45	45	2	2	0	0	0	0	0	47	2	0.0425531914893617
7523	inas	2007-12-01	259	234	64	31	23	4	0	0	0	290	68	0.23448275862068965
7523	inas	2008-02-01	1310	827	319	183	73	19	0	0	0	1493	338	0.22638981915606163
7523	inas	2008-03-01	546	535	408	19	14	2	0	0	0	565	410	0.7256637168141593
7523	inas	2008-08-01	128	127	101	11	5	0	0	0	0	139	101	0.7266187050359713
7523	inas	2009-01-01	65	44	18	7	4	0	0	0	0	72	18	0.25
7523	inas	2009-02-01	69	59	25	12	8	1	0	0	0	81	26	0.32098765432098764
7523	inas	2009-04-01	1004	285	386	102	27	11	1	0	0	1107	397	0.35862691960252935
7523	inas	2010-01-01	1	2	0	1	1	1	0	0	0	2	1	0.5
7523	inas	2010-03-01	109	84	96	13	7	4	0	0	0	122	100	0.819672131147541
7523	inas	2010-04-01	43	42	8	3	2	1	0	0	0	46	9	0.1956521739130435
7523	inas	2010-10-01	289	192	221	46	21	10	0	0	0	335	231	0.6895522388059702
7523	inas	2010-11-01	63	57	54	1	1	0	0	0	0	64	54	0.84375
7523	inas	2010-12-01	125	77	109	13	9	3	0	0	0	138	112	0.8115942028985508
7523	inas	2011-04-01	595	310	332	96	51	22	2	1	1	693	355	0.5122655122655123
7523	inas	2011-05-01	103	67	52	27	14	9	0	0	0	130	61	0.46923076923076923
7523	inas	2011-06-01	18	18	11	4	2	1	0	0	0	22	12	0.5454545454545454
7523	inas	2011-07-01	187	143	174	14	5	4	0	0	0	201	178	0.8855721393034826
7523	inas	2011-08-01	380	285	232	92	63	25	1	0	0	473	257	0.5433403805496829
7523	inas	2011-09-01	1739	1416	1048	410	285	104	31	12	5	2180	1157	0.5307339449541284
7523	inas	2011-10-01	0	0	0	3	1	1	0	0	0	3	1	0.3333333333333333
7523	inas	2012-01-01	1869	1769	1566	258	175	67	20	11	3	2147	1636	0.7619934792734048
7523	inas	2012-02-01	29036	27359	26184	2080	1077	476	307	110	37	31423	26697	0.8496006110174076
7523	inas	2012-03-01	12415	8444	9003	1894	587	413	242	49	23	14551	9439	0.6486839392481616
7523	inas	2012-04-01	223	158	176	55	16	9	5	1	0	283	185	0.6537102473498233
7523	inas	2012-05-01	590	476	360	214	49	16	23	1	2	827	378	0.4570737605804111
7523	inas	2012-06-01	2675	2193	2031	424	173	86	49	15	2	3148	2119	0.673125794155019
7523	inas	2012-07-01	8726	5249	6193	1985	571	383	103	21	10	10814	6586	0.60902533752543
7523	inas	2012-08-01	5272	2950	4020	1548	412	407	45	22	15	6865	4442	0.6470502549162418
7523	inas	2012-09-01	91	36	52	39	4	4	3	0	0	133	56	0.42105263157894735
7523	inas	2012-10-01	546	266	404	166	28	34	7	0	0	719	438	0.6091794158553546
7523	inas	2012-11-01	224	212	172	12	3	0	0	0	0	236	172	0.7288135593220338
7523	inas	2012-12-01	137	68	124	53	3	15	5	0	0	195	139	0.7128205128205128
7523	inas	2013-01-01	27	8	14	9	2	3	0	0	0	36	17	0.4722222222222222
7523	inas	2013-03-01	12	12	7	7	1	1	0	0	0	19	8	0.42105263157894735
7523	inas	2013-04-01	4575	2060	3266	1531	281	463	70	18	17	6176	3746	0.6065414507772021
7523	inas	2013-05-01	20184	13843	17523	4252	1531	1647	497	155	103	24933	19273	0.7729916175349938
7523	inas	2013-06-01	12346	9211	10490	2699	761	905	211	90	57	15256	11452	0.7506554798112218
7523	inas	2013-07-01	1363	829	1215	341	90	139	24	7	2	1728	1356	0.7847222222222222
7523	inas	2013-08-01	1892	1102	1399	484	156	172	13	4	3	2389	1574	0.6588530766010883
7523	inas	2013-09-01	6302	3404	4761	1159	343	481	71	31	22	7532	5264	0.6988847583643123
7523	inas	2013-10-01	7	3	6	5	0	5	1	0	0	13	11	0.8461538461538461
7523	inas	2013-11-01	64	22	29	23	6	10	1	1	1	88	40	0.45454545454545453
7523	inas	2014-02-01	1	1	0	0	0	0	0	0	0	1	0	0
7523	inas	2014-03-01	3	0	1	0	0	0	1	0	1	4	2	0.5
7523	inas	2014-04-01	4	0	3	1	0	1	0	0	0	5	4	0.8
7523	inas	2014-05-01	17	13	14	15	0	11	0	0	0	32	25	0.78125
7523	inas	2014-06-01	175	97	153	74	12	26	1	0	0	250	179	0.716
