uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1751908	Blues Brothers	2013-11-01	3299	2997	2925	273	166	139	8	2	1	3580	3065	0.8561452513966481
1751908	Blues Brothers	2013-12-01	0	0	0	0	0	0	0	0	0	0	0	0
1751908	Blues Brothers	2014-01-01	255	214	221	79	39	35	27	12	4	361	260	0.7202216066481995
1751908	Blues Brothers	2014-03-01	0	0	0	0	0	0	3	0	0	3	0	0
1751908	Blues Brothers	2014-05-01	1347	971	1151	148	60	80	6	0	0	1501	1231	0.8201199200532978
1751908	Blues Brothers	2014-06-01	8738	7638	8255	647	372	438	9	3	2	9394	8695	0.925590802639983
1751908	Blues Brothers	2014-07-01	3322	3227	3275	121	72	84	46	38	45	3489	3404	0.9756377185439954
1751908	Blues Brothers	2014-08-01	639	599	618	39	31	33	1	1	1	679	652	0.9602356406480118
1751908	Blues Brothers	2014-09-01	0	0	0	0	0	0	1	0	0	1	0	0
1751908	Blues Brothers	2014-10-01	0	0	0	0	0	0	5	0	0	5	0	0
1751908	Blues Brothers	2014-11-01	0	0	0	0	0	0	5	0	0	5	0	0
1751908	Blues Brothers	2014-12-01	1155	948	876	102	32	41	7	0	0	1264	917	0.7254746835443038
1751908	Blues Brothers	2015-01-01	0	0	0	0	0	0	3	0	0	3	0	0
1751908	Blues Brothers	2015-03-01	117	9	116	5	0	2	0	0	0	122	118	0.9672131147540983
1751908	Blues Brothers	2015-04-01	0	0	0	0	0	0	4	0	0	4	0	0
1751908	Blues Brothers	2015-06-01	1047	908	1030	268	136	199	16	1	0	1331	1229	0.9233658903080391
1751908	Blues Brothers	2015-07-01	1348	1093	1333	118	77	101	8	1	6	1474	1440	0.9769335142469471
1751908	Blues Brothers	2015-09-01	325	154	293	155	50	116	11	0	2	491	411	0.8370672097759674
1751908	Blues Brothers	2015-11-01	149	130	148	68	30	54	0	0	0	217	202	0.9308755760368663
1751908	Blues Brothers	2015-12-01	12	6	11	26	2	24	0	0	0	38	35	0.9210526315789473
539656	kragon77	2012-07-01	7539	5643	6654	827	561	379	1	0	1	8367	7034	0.8406836381020677
539656	kragon77	2012-08-01	1197	890	1151	130	102	80	0	0	0	1327	1231	0.9276563677467973
539656	kragon77	2012-10-01	4986	3917	4757	580	379	390	0	0	0	5566	5147	0.9247215235357528
539656	kragon77	2012-11-01	120	100	117	24	20	16	0	0	0	144	133	0.9236111111111112
539656	kragon77	2013-06-01	0	0	0	0	0	0	3	0	0	3	0	0
539656	kragon77	2013-07-01	4496	4123	4385	451	336	310	9	0	0	4956	4695	0.9473365617433414
539656	kragon77	2013-10-01	43	29	42	7	3	5	0	0	0	50	47	0.94
539656	kragon77	2014-10-01	284	247	283	74	46	64	0	0	0	358	347	0.9692737430167597
149824	LucaPescatore	2009-07-01	24	17	15	6	3	2	0	0	0	30	17	0.5666666666666667
149824	LucaPescatore	2009-09-01	6226	6161	3843	336	276	79	0	0	0	6562	3922	0.5976836330387078
149824	LucaPescatore	2009-11-01	3123	2633	1524	363	289	130	0	0	0	3486	1654	0.474469305794607
149824	LucaPescatore	2009-12-01	3231	3191	2250	526	398	309	0	0	0	3757	2559	0.6811285600212936
149824	LucaPescatore	2010-01-01	1408	1405	1014	288	233	147	0	0	0	1696	1161	0.6845518867924528
149824	LucaPescatore	2010-04-01	533	506	386	141	124	110	0	0	0	674	496	0.7359050445103857
149824	LucaPescatore	2010-05-01	79	80	9	3	1	0	0	0	0	82	9	0.10975609756097561
149824	LucaPescatore	2010-07-01	58	0	1	0	0	0	0	0	0	58	1	0.017241379310344827
149824	LucaPescatore	2011-03-01	2	2	1	1	1	0	0	0	0	3	1	0.3333333333333333
750240	pragmatik	2012-07-01	1316	875	927	236	106	40	0	0	0	1552	967	0.6230670103092784
750240	pragmatik	2012-08-01	4695	3175	3268	981	495	298	7	7	5	5683	3571	0.6283653000175964
750240	pragmatik	2012-09-01	226	209	218	32	18	21	0	0	0	258	239	0.9263565891472868
750240	pragmatik	2012-12-01	106	104	95	42	20	20	0	0	0	148	115	0.777027027027027
750240	pragmatik	2013-01-01	86	66	65	56	10	17	0	0	0	142	82	0.5774647887323944
750240	pragmatik	2013-02-01	0	0	0	2	0	0	0	0	0	2	0	0
750240	pragmatik	2013-03-01	0	0	0	0	0	0	0	0	0	0	0	0
750240	pragmatik	2013-04-01	0	0	0	5	0	0	0	0	0	5	0	0
750240	pragmatik	2013-06-01	28	0	26	4	0	0	0	0	0	32	26	0.8125
750240	pragmatik	2013-07-01	7	7	4	5	2	1	0	0	0	12	5	0.4166666666666667
71486	humboldtmap	2008-10-01	5854	1458	772	262	40	14	0	0	0	6116	786	0.12851536952256376
39504	malenki	2011-08-01	305	269	232	48	17	14	1	0	0	354	246	0.6949152542372882
39504	malenki	2011-10-01	50	28	18	27	9	3	0	0	0	77	21	0.2727272727272727
