uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
393606	watao	2011-01-01	3663	3271	2566	842	608	284	0	0	0	4505	2850	0.632630410654828
393606	watao	2011-02-01	12812	12468	6944	3091	2572	864	3	1	0	15906	7808	0.49088394316610084
393606	watao	2011-03-01	9025	8910	5446	2263	1846	708	0	0	0	11288	6154	0.5451807228915663
393606	watao	2011-05-01	87097	86400	56011	29974	28238	14487	0	0	0	117071	70498	0.602181582116835
393606	watao	2011-06-01	131615	129906	80742	41934	37929	20704	3	0	0	173552	101446	0.58452798008666
393606	watao	2011-07-01	138317	137677	92420	44098	40134	24415	7	7	3	182422	116838	0.6404819594127901
393606	watao	2011-08-01	95314	93922	60095	27078	23777	13529	9	6	6	122401	73630	0.601547372978979
393606	watao	2011-09-01	120770	119812	97716	23445	20271	14805	134	92	5	144349	112526	0.7795412507187441
393606	watao	2011-10-01	8378	8163	5639	2155	1718	999	2	2	0	10535	6638	0.6300901756051258
393606	watao	2011-11-01	6388	6282	4450	1695	1441	970	6	6	3	8089	5423	0.6704166151563852
393606	watao	2011-12-01	18856	18779	11277	4710	4108	2323	2	0	0	23568	13600	0.5770536320434487
393606	watao	2012-01-01	4622	4595	3076	1140	917	581	0	0	0	5762	3657	0.6346754599097536
393606	watao	2012-02-01	15412	15274	8845	3393	2821	1451	0	0	0	18805	10296	0.5475139590534432
393606	watao	2012-03-01	59337	58992	54343	15041	11849	10907	34	34	32	74412	65282	0.8773047357953019
393606	watao	2012-04-01	39441	39269	37917	7651	6352	6358	55	55	55	47147	44330	0.9402507052410546
393606	watao	2012-05-01	32406	32215	22928	6505	5907	3585	4	4	4	38915	26517	0.6814081973532057
393606	watao	2012-06-01	29239	28928	21132	7201	6378	3714	0	0	0	36440	24846	0.6818331503841932
393606	watao	2012-07-01	20975	20892	18811	4584	4280	3984	9	9	7	25568	22802	0.8918178973717147
393606	watao	2012-08-01	55408	54956	49382	13755	13438	11267	12	11	10	69175	60659	0.8768919407300325
393606	watao	2012-09-01	14398	14308	13970	2066	1898	1845	9	9	9	16473	15824	0.9606021975353609
393606	watao	2012-10-01	13594	13278	12060	3787	3143	2848	6	6	6	17387	14914	0.857767297406108
393606	watao	2012-11-01	7427	7366	6265	1615	1374	1148	5	5	5	9047	7418	0.8199403117055377
393606	watao	2012-12-01	7485	7431	6565	1784	1565	1459	22	22	22	9291	8046	0.8659993542137553
393606	watao	2013-01-01	2790	2635	2737	672	614	605	0	0	0	3462	3342	0.9653379549393414
393606	watao	2013-02-01	3618	3386	3380	1102	885	979	0	0	0	4720	4359	0.9235169491525423
393606	watao	2013-03-01	5687	5662	5630	1360	1316	1318	0	0	0	7047	6948	0.9859514687100894
393606	watao	2013-04-01	1617	1617	1595	328	328	318	4	4	4	1949	1917	0.9835813237557722
631141	Ryo-a	2012-03-01	15010	11000	13659	3070	1823	1578	0	0	0	18080	15237	0.8427544247787611
631141	Ryo-a	2012-04-01	20310	16288	18663	5224	3226	3096	19	1	0	25553	21759	0.8515242828630689
631141	Ryo-a	2012-05-01	17966	15470	17050	4065	2564	2602	21	3	2	22052	19654	0.8912570288409215
631141	Ryo-a	2012-06-01	15834	14785	15143	3694	2556	2353	11	1	1	19539	17497	0.8954910691437638
631141	Ryo-a	2012-07-01	16355	15800	15282	4292	3005	2824	12	0	0	20659	18106	0.8764218984461978
631141	Ryo-a	2012-08-01	14924	13629	14408	5013	3526	3342	15	1	0	19952	17750	0.8896351242983159
631141	Ryo-a	2012-09-01	26906	25573	25133	7373	5445	4696	29	0	0	34308	29829	0.8694473592165093
631141	Ryo-a	2012-10-01	19801	17284	18865	4802	3088	3356	12	2	2	24615	22223	0.9028234816169003
