uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1679	andrewpmk	2006-11-01	37	38	1	4	4	0	0	0	0	41	1	0.024390243902439025
1679	andrewpmk	2007-05-01	2194	2195	551	53	53	2	0	0	0	2247	553	0.24610591900311526
1679	andrewpmk	2007-06-01	26	27	0	2	2	0	0	0	0	28	0	0
1679	andrewpmk	2007-07-01	346	347	91	6	6	0	0	0	0	352	91	0.2585227272727273
1679	andrewpmk	2007-08-01	1353	1354	196	72	72	2	0	0	0	1425	198	0.13894736842105262
1679	andrewpmk	2007-09-01	4443	4444	1152	1241	1241	30	1	1	1	5685	1183	0.2080914687774846
1679	andrewpmk	2007-10-01	8070	6600	1996	4564	1841	361	9	9	5	12643	2362	0.18682274776556196
1679	andrewpmk	2007-11-01	10897	3652	1899	2820	574	86	4	3	0	13721	1985	0.14466875592158007
1679	andrewpmk	2007-12-01	8035	3052	1391	1613	472	85	0	0	0	9648	1476	0.15298507462686567
1679	andrewpmk	2008-01-01	8102	4215	1500	2113	748	112	6	5	0	10221	1612	0.15771450934350847
1679	andrewpmk	2008-02-01	8457	7058	3076	2379	734	102	0	0	0	10836	3178	0.29328165374677
1679	andrewpmk	2008-03-01	9836	6963	3455	5278	1233	332	82	9	1	15196	3788	0.24927612529613055
1679	andrewpmk	2008-04-01	6212	4501	2369	3635	901	218	4	0	1	9851	2588	0.2627144452339864
1679	andrewpmk	2008-05-01	18517	15251	9810	8703	2836	1105	374	31	2	27594	10917	0.39562948467058057
1679	andrewpmk	2008-06-01	4885	3818	2547	1796	600	321	25	1	0	6706	2868	0.4276767074261855
1679	andrewpmk	2008-07-01	9703	7676	5886	2743	1075	496	74	3	1	12520	6383	0.5098242811501598
1679	andrewpmk	2008-08-01	4974	4502	3866	1424	478	236	6	0	0	6404	4102	0.6405371642723298
1679	andrewpmk	2008-09-01	16434	14643	10771	4794	1592	692	49	5	8	21277	11471	0.5391267565916248
1679	andrewpmk	2008-10-01	18912	4553	4400	2485	848	410	14	4	1	21411	4811	0.22469758535332307
1679	andrewpmk	2008-11-01	4800	2547	2367	1289	440	227	11	0	0	6100	2594	0.4252459016393443
1679	andrewpmk	2008-12-01	1751	744	726	418	153	69	18	4	4	2187	799	0.3653406492912666
