uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
121502	mbiker_imports_and_more	2009-05-01	20170	19909	16730	5701	5360	2947	0	0	0	25871	19677	0.7605813459085462
121502	mbiker_imports_and_more	2009-06-01	44341	44188	37598	18353	17921	11759	0	0	0	62694	49357	0.7872683191373975
121502	mbiker_imports_and_more	2009-09-01	2015	1938	1647	564	346	150	1	0	0	2580	1797	0.6965116279069767
121502	mbiker_imports_and_more	2009-10-01	409	364	324	158	72	29	1	1	0	568	353	0.6214788732394366
121502	mbiker_imports_and_more	2009-12-01	1152	1109	743	315	193	100	0	0	0	1467	843	0.5746421267893661
121502	mbiker_imports_and_more	2010-01-01	1377	1265	1117	441	268	171	0	0	0	1818	1288	0.7084708470847084
121502	mbiker_imports_and_more	2010-02-01	1040	984	822	326	206	162	0	0	0	1366	984	0.7203513909224012
121502	mbiker_imports_and_more	2010-07-01	22529	22228	22118	1450	1024	982	18	16	3	23997	23103	0.962745343167896
121502	mbiker_imports_and_more	2010-08-01	300517	300419	297548	10205	10042	2431	39	31	10	310761	299989	0.9653367056998787
121502	mbiker_imports_and_more	2010-10-01	2240	1783	1747	785	433	370	20	15	12	3045	2129	0.6991789819376026
121502	mbiker_imports_and_more	2011-01-01	254	245	141	64	47	32	0	0	0	318	173	0.5440251572327044
121502	mbiker_imports_and_more	2011-03-01	641	583	550	241	128	122	1	1	0	883	672	0.7610419026047565
154287	keithonearth	2014-06-01	117	30	87	70	13	18	32	21	8	219	113	0.5159817351598174
154287	keithonearth	2014-07-01	5881	5157	3906	1241	991	894	34	18	10	7156	4810	0.6721632196757965
154287	keithonearth	2014-08-01	11823	11204	10322	2328	2165	2073	32	28	25	14183	12420	0.875696256081224
154287	keithonearth	2014-09-01	16190	15527	15391	3343	3139	3022	14	12	11	19547	18424	0.9425487287051721
154287	keithonearth	2014-10-01	8904	8682	8543	1136	1084	998	11	10	5	10051	9546	0.9497562431598846
154287	keithonearth	2014-11-01	8653	8266	8427	954	870	350	8	8	2	9615	8779	0.9130525221008841
154287	keithonearth	2014-12-01	14948	14728	14752	2592	2539	2490	8	4	4	17548	17246	0.9827900615454752
154287	keithonearth	2015-01-01	32875	32402	32750	5647	5407	5517	28	15	10	38550	38277	0.9929182879377432
154287	keithonearth	2015-02-01	12737	12013	12610	2399	2103	2305	7	3	3	15143	14918	0.9851416496070792
154287	keithonearth	2015-03-01	11915	11564	11901	1929	1859	1895	0	0	0	13844	13796	0.9965327939901762
154287	keithonearth	2015-04-01	584	581	581	96	84	90	0	0	0	680	671	0.986764705882353
154287	keithonearth	2015-05-01	2607	1573	2406	382	247	341	14	4	1	3003	2748	0.9150849150849151
154287	keithonearth	2015-06-01	25483	23389	25234	4537	3789	4381	6	6	5	30026	29620	0.9864783853993205
154287	keithonearth	2015-07-01	17729	16435	17505	2893	2638	2816	17	12	14	20639	20335	0.9852706041959397
154287	keithonearth	2015-08-01	2341	1031	2305	228	135	215	12	10	10	2581	2530	0.9802402169701666
154287	keithonearth	2015-09-01	9850	8782	9741	1648	1379	1593	9	7	7	11507	11341	0.9855739984357348
