uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
479788	sobzeros	2012-07-01	8573	7415	6145	1283	1049	937	2	2	2	9858	7084	0.7186041793467235
479788	sobzeros	2012-08-01	7540	7532	7413	10	9	1	0	0	0	7550	7414	0.9819867549668874
479788	sobzeros	2012-09-01	42379	41459	36394	937	696	563	3	1	1	43319	36958	0.8531591218633856
479788	sobzeros	2012-10-01	13303	10521	9818	1115	574	450	0	0	0	14418	10268	0.7121653488694687
479788	sobzeros	2012-11-01	1387983	1383850	1342947	139376	138731	130778	7	7	7	1527366	1473732	0.9648846445449224
479788	sobzeros	2012-12-01	64733	58589	59024	6257	5889	4942	0	0	0	70990	63966	0.9010564868291309
479788	sobzeros	2013-01-01	8938	4943	6004	1290	799	370	3	3	2	10231	6376	0.6232039878799727
479788	sobzeros	2013-02-01	22682	20507	21442	1982	1723	1704	9	5	1	24673	23147	0.9381510152798606
479788	sobzeros	2013-03-01	221	185	205	47	6	16	0	0	0	268	221	0.8246268656716418
479788	sobzeros	2013-04-01	113511	110798	111711	7527	7085	6968	11	0	2	121049	118681	0.9804376739997852
479788	sobzeros	2014-08-01	15	7	14	4	1	4	0	0	0	19	18	0.9473684210526315
479788	sobzeros	2014-12-01	8	8	7	2	1	2	0	0	0	10	9	0.9
1366199	GeoCameroun	2013-04-01	20837	18518	20338	787	329	413	15	0	1	21639	20752	0.959009196358427
1366199	GeoCameroun	2013-05-01	859905	854909	849160	143758	142526	135083	16	5	7	1003679	984250	0.9806422172826172
1366199	GeoCameroun	2013-06-01	5822	3464	4866	1040	206	817	0	0	0	6862	5683	0.8281842028563101
1366199	GeoCameroun	2013-07-01	2377	2099	2252	353	173	133	186	57	53	2916	2438	0.836076817558299
1366199	GeoCameroun	2013-08-01	0	0	0	2	0	0	0	0	0	2	0	0
1366199	GeoCameroun	2013-09-01	169	93	166	20	5	9	0	0	0	189	175	0.9259259259259259
1366199	GeoCameroun	2013-10-01	3	0	2	2	1	2	0	0	0	5	4	0.8
1366199	GeoCameroun	2013-11-01	298	75	267	79	20	60	1	0	1	378	328	0.8677248677248677
1366199	GeoCameroun	2013-12-01	8	3	7	3	0	3	0	0	0	11	10	0.9090909090909091
1366199	GeoCameroun	2014-01-01	201	13	198	14	2	11	1	0	1	216	210	0.9722222222222222
1366199	GeoCameroun	2014-02-01	2	0	0	0	0	0	0	0	0	2	0	0
