uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1974440	sebastic_BAG	2014-03-01	105592	74814	105557	4734	2636	4552	14	10	13	110340	110122	0.9980242885626246
1974440	sebastic_BAG	2014-04-01	667598	658660	660989	84888	83836	84502	232	212	217	752718	745708	0.9906870833432972
1974440	sebastic_BAG	2014-05-01	280446	276964	280243	44772	43806	44609	62	54	58	325280	324910	0.9988625184456468
1974440	sebastic_BAG	2014-06-01	1	0	0	4	0	2	2	0	0	7	2	0.2857142857142857
195219	3dShapes	2009-11-01	79474	79464	68926	10126	10112	8204	9	8	5	89609	77135	0.8607952326217233
195219	3dShapes	2009-12-01	44834	44835	41493	4472	4468	3851	5	4	4	49311	45348	0.9196325363509156
195219	3dShapes	2010-01-01	22826	22826	21402	3751	3751	3428	2	2	1	26579	24831	0.9342337935964483
195219	3dShapes	2010-03-01	8355	8355	7728	1476	1476	1396	0	0	0	9831	9124	0.9280846302512461
195219	3dShapes	2010-04-01	106932	106930	96395	12635	12453	8508	104	99	84	119671	104987	0.8772969223955679
195219	3dShapes	2010-05-01	109894	109894	67556	13493	13492	8383	32	32	22	123419	75961	0.6154724961310657
195219	3dShapes	2010-07-01	11946	11946	11003	980	974	78	14	14	9	12940	11090	0.857032457496136
195219	3dShapes	2010-08-01	113289	113288	101302	9577	8661	1155	206	201	150	123072	102607	0.8337152236089443
195219	3dShapes	2010-09-01	82701	82701	74166	6481	6380	1048	143	143	111	89325	75325	0.8432689616568709
195219	3dShapes	2011-02-01	86193	86192	79249	7571	7538	930	213	213	52	93977	80231	0.8537301680198346
195219	3dShapes	2011-03-01	36147	36148	31783	3597	2425	384	92	85	6	39836	32173	0.8076363088663521
1994943	Plompy_BAG	2014-03-01	83190	82964	83167	12759	12630	12696	5	2	3	95954	95866	0.999082893886654
1994943	Plompy_BAG	2014-04-01	283205	281297	282906	43258	42700	42979	21	20	20	326484	325905	0.998226559341346
1994943	Plompy_BAG	2014-05-01	65240	64657	65153	10891	10708	10769	2	2	2	76133	75924	0.9972548040928375
1974371	florisje_BAG	2014-03-01	193099	190416	192268	17715	17340	17383	226	218	216	211040	209867	0.9944418119787718
1974371	florisje_BAG	2014-04-01	104807	104041	104165	10309	10201	10263	29	28	29	115145	114457	0.9940249250944462
1974371	florisje_BAG	2014-05-01	95424	94754	95350	13352	13224	13317	21	20	21	108797	108688	0.9989981341397282
48448	paulbe	2008-06-01	76	20	6	136	9	8	0	0	0	212	14	0.0660377358490566
48448	paulbe	2008-07-01	4496	1292	719	3831	406	288	13	0	0	8340	1007	0.12074340527577937
48448	paulbe	2008-08-01	6340	1867	1074	6350	545	541	8	0	0	12698	1615	0.12718538352496456
48448	paulbe	2008-09-01	4836	1639	792	4262	582	407	70	0	1	9168	1200	0.13089005235602094
48448	paulbe	2008-10-01	8429	924	616	3005	375	398	21	0	1	11455	1015	0.08860759493670886
48448	paulbe	2008-11-01	2773	196	116	699	54	68	3	0	0	3475	184	0.052949640287769786
48448	paulbe	2008-12-01	8415	683	643	2154	244	305	21	0	1	10590	949	0.08961284230406043
48448	paulbe	2009-01-01	19744	1319	1296	3794	488	392	21	0	0	23559	1688	0.07164990025043508
48448	paulbe	2009-02-01	14425	912	2259	3115	385	429	82	0	0	17622	2688	0.15253660197480423
48448	paulbe	2009-03-01	6696	609	903	1590	213	168	18	0	0	8304	1071	0.12897398843930635
