uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
539656	kragon77	2012-07-01	7539	5643	6716	827	561	406	1	0	1	8367	7123	0.8513206645153579
539656	kragon77	2012-08-01	1197	890	1152	130	102	83	0	0	0	1327	1235	0.9306706857573473
539656	kragon77	2012-10-01	4986	3917	4762	580	379	404	0	0	0	5566	5166	0.9281351060007187
539656	kragon77	2012-11-01	120	100	119	24	20	21	0	0	0	144	140	0.9722222222222222
539656	kragon77	2013-06-01	0	0	0	0	0	0	3	0	0	3	0	0
539656	kragon77	2013-07-01	4496	4123	4397	451	336	344	9	0	0	4956	4741	0.9566182405165456
539656	kragon77	2013-10-01	43	29	42	7	3	5	0	0	0	50	47	0.94
539656	kragon77	2014-10-01	284	247	283	74	46	68	0	0	0	358	351	0.9804469273743017
1751908	Blues Brothers	2013-11-01	3299	2997	3014	273	166	153	8	2	1	3580	3168	0.8849162011173184
1751908	Blues Brothers	2013-12-01	0	0	0	0	0	0	0	0	0	0	0	0
1751908	Blues Brothers	2014-01-01	255	214	227	79	39	38	27	12	4	361	269	0.7451523545706371
1751908	Blues Brothers	2014-03-01	0	0	0	0	0	0	4	0	0	4	0	0
1751908	Blues Brothers	2014-05-01	1347	971	1295	148	60	111	6	0	3	1501	1409	0.938707528314457
1751908	Blues Brothers	2014-06-01	8739	7638	8449	647	372	518	9	3	2	9395	8969	0.9546567323044173
1751908	Blues Brothers	2014-07-01	3322	3227	3287	121	72	105	46	38	45	3489	3437	0.9850960160504443
1751908	Blues Brothers	2014-08-01	639	599	637	39	31	37	1	1	1	679	675	0.9941089837997055
1751908	Blues Brothers	2014-09-01	0	0	0	0	0	0	1	0	0	1	0	0
1751908	Blues Brothers	2014-10-01	0	0	0	0	0	0	5	0	0	5	0	0
1751908	Blues Brothers	2014-11-01	0	0	0	1	0	0	5	0	0	6	0	0
1751908	Blues Brothers	2014-12-01	1155	948	1106	102	32	87	7	0	2	1264	1195	0.9454113924050633
1751908	Blues Brothers	2015-01-01	0	0	0	0	0	0	3	0	1	3	1	0.3333333333333333
149824	LucaPescatore	2009-07-01	24	17	15	6	3	2	0	0	0	30	17	0.5666666666666667
149824	LucaPescatore	2009-09-01	6226	6161	3850	336	276	81	0	0	0	6562	3931	0.5990551661078939
149824	LucaPescatore	2009-11-01	3123	2633	1524	363	289	130	0	0	0	3486	1654	0.474469305794607
